class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,2,,,,,0.24152542650699615,1.3820055723190308
,,,,0,2,,,0.27923843264579773,1.3836430311203003,,
,,,,1,5,,,,,0.2711864411830902,1.3798662424087524
,,,,1,5,,,0.2837715446949005,1.3810054063796997,,
,,,,2,8,,,,,0.29661017656326294,1.375599980354309
,,,,2,8,,,0.3000906705856323,1.3765723705291748,,
,,,,3,11,,,,,0.29661017656326294,1.3707916736602783
,,,,3,11,,,0.3227561116218567,1.3694885969161987,,
,,,,4,14,,,,,0.36016950011253357,1.3622323274612427
,,,,4,14,,,0.3254759609699249,1.3573298454284668,,
,,,,5,17,,,,,0.29661017656326294,1.3577508926391602
,,,,5,17,,,0.3717135190963745,1.344503402709961,,
,,,,6,20,,,,,0.41101694107055664,1.3340423107147217
,,,,6,20,,,0.3417951166629791,1.328464150428772,,
,,,,7,23,,,,,0.4406779706478119,1.313588261604309
,,,,7,23,,,0.42067089676856995,1.3131316900253296,,
,,,,8,26,,,,,0.42796608805656433,1.2926812171936035
,,,,8,26,,,0.4551223814487457,1.2776243686676025,,
,,,,9,29,,,,,0.4449152648448944,1.2402054071426392
,,,,9,29,,,0.4442429840564728,1.2463957071304321,,
,,,,10,32,,,,,0.41101694107055664,1.2694753408432007
,,,,10,32,,,0.46237534284591675,1.2191667556762695,,
,,,,11,35,,,,,0.4194915294647217,1.2484151124954224
,,,,11,35,,,0.42520397901535034,1.2403895854949951,,
,,,,12,38,,,,,0.42796608805656433,1.238394021987915
,,,,12,38,,,0.44514960050582886,1.2090293169021606,,
,,,,13,41,,,,,0.4194915294647217,1.284292459487915
,,,,13,41,,,0.40344515442848206,1.2563613653182983,,
,,,,14,44,,,,,0.43220338225364685,1.2101771831512451
,,,,14,44,,,0.43245694041252136,1.2084643840789795,,
,,,,15,47,,,,,0.43644067645072937,1.2031508684158325
,,,,15,47,,,0.4560289978981018,1.1657590866088867,,
,,,,16,50,,,,,0.43220338225364685,1.1872268915176392
,,,,16,50,,,0.45058929920196533,1.1606485843658447,,
,,,,17,53,,,,,0.4067796468734741,1.340384840965271
,,,,17,53,,,0.44605621695518494,1.1432726383209229,,
,,,,18,56,,,,,0.4237288236618042,1.184083104133606
,,,,18,56,,,0.40344515442848206,1.3503984212875366,,
,,,,19,59,,,,,0.47033897042274475,1.1717454195022583
,,,,19,59,,,0.4605621099472046,1.1449594497680664,,
,,,,20,62,,,,,0.4237288236618042,1.1448262929916382
,,,,20,62,,,0.4605621099472046,1.1206754446029663,,
,,,,21,65,,,,,0.5296609997749329,1.1021045446395874
,,,,21,65,,,0.4342701733112335,1.1209981441497803,,
,,,,22,68,,,,,0.5338982939720154,1.07512366771698
,,,,22,68,,,0.5104261040687561,1.0641425848007202,,
,,,,23,71,,,,,0.5338982939720154,1.0385774374008179
,,,,23,71,,,0.5240253806114197,1.0407533645629883,,
,,,,24,74,,,,,0.5338982939720154,1.0329118967056274
,,,,24,74,,,0.527651846408844,1.0148673057556152,,
,,,,25,77,,,,,0.5296609997749329,1.047311782836914
,,,,25,77,,,0.527651846408844,1.0073219537734985,,
,,,,26,80,,,,,0.5338982939720154,1.0682443380355835
,,,,26,80,,,0.5185856819152832,1.0082001686096191,,
,,,,27,83,,,,,0.5042372941970825,1.108736276626587
,,,,27,83,,,0.5285584926605225,1.016552448272705,,
,,,,28,86,,,,,0.5423728823661804,1.0195717811584473
,,,,28,86,,,0.5176790356636047,1.025132179260254,,
,,,,29,89,,,,,0.5423728823661804,0.9980141520500183
,,,,29,89,,,0.5575702786445618,0.9647248983383179,,
,,,,30,92,,,,,0.5423728823661804,0.9907019734382629
,,,,30,92,,,0.5521305799484253,0.9564651846885681,,
,,,,31,95,,,,,0.5423728823661804,1.000888466835022
,,,,31,95,,,0.5457842350006104,0.9533048272132874,,
,,,,32,97,,,,,0.5423728823661804,0.9843999147415161
,,,,32,96,,,0.5559895634651184,0.9284864068031311,,
0.982758641242981,0.234375,0.5438596606254578,0.3103448152542114,33,97,0.5105485320091248,1.0028351545333862,,,,
