epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,0,,0.17578125,,1.7901122570037842,,
0,1,,0.17777778208255768,,1.7895395755767822,,
0,1,,,,,0.13178294897079468,1.791050910949707
0,1,0.13621261715888977,,1.7911579608917236,,,
1,2,,0.1484375,,1.7895921468734741,,
1,3,,0.21111111342906952,,1.788735032081604,,
1,3,,,,,0.06976744532585144,1.791333556175232
1,3,0.16943521797657013,,1.7893097400665283,,,
2,4,,0.16796875,,1.7877743244171143,,
2,5,,0.1666666716337204,,1.7867927551269531,,
2,5,,,,,0.10077519714832306,1.7911088466644287
2,5,0.18106311559677124,,1.7871530055999756,,,
3,6,,0.24609375,,1.7834261655807495,,
3,7,,0.15555556118488312,,1.7885942459106445,,
3,7,,,,,0.11627907305955887,1.7907772064208984
3,7,0.21760797500610352,,1.7851362228393555,,,
4,8,,0.22265625,,1.7839949131011963,,
4,9,,0.23333333432674408,,1.7834734916687012,,
4,9,,,,,0.13953489065170288,1.7901873588562012
4,9,0.22425249218940735,,1.783698558807373,,,
5,10,,0.25390625,,1.7815622091293335,,
5,11,,0.2222222238779068,,1.7816904783248901,,
5,11,,,,,0.13178294897079468,1.7892422676086426
5,11,0.23754152655601501,,1.7820477485656738,,,
6,12,,0.26171875,,1.7798783779144287,,
6,13,,0.3222222328186035,,1.7800657749176025,,
6,13,,,,,0.1472868174314499,1.7879763841629028
6,13,0.2607973515987396,,1.7801742553710938,,,
7,14,,0.23828125,,1.7780481576919556,,
7,15,,0.18888889253139496,,1.7789936065673828,,
7,15,,,,,0.13953489065170288,1.786250352859497
7,15,0.2225913554430008,,1.7786705493927002,,,
8,16,,0.26953125,,1.7766135931015015,,
8,17,,0.25555557012557983,,1.7731600999832153,,
8,17,,,,,0.1550387591123581,1.7842891216278076
8,17,0.25581395626068115,,1.7757741212844849,,,
9,18,,0.2578125,,1.7726333141326904,,
9,19,,0.2777777910232544,,1.7724871635437012,,
9,19,,,,,0.1627907007932663,1.7823736667633057
9,19,0.2508305609226227,,1.7736637592315674,,,
10,20,,0.23828125,,1.778011441230774,,
10,21,,0.2222222238779068,,1.7718420028686523,,
10,21,,,,,0.1472868174314499,1.7801477909088135
10,21,0.2508305609226227,,1.7742165327072144,,,
11,22,,0.234375,,1.769631266593933,,
11,23,,0.3444444537162781,,1.7641721963882446,,
11,23,,,,,0.1550387591123581,1.7781736850738525
11,23,0.2574750781059265,,1.768970012664795,,,
12,24,,0.2265625,,1.768408179283142,,
12,25,,0.21111111342906952,,1.7739378213882446,,
12,25,,,,,0.13953489065170288,1.7762773036956787
12,25,0.2425249218940735,,1.7674808502197266,,,
13,26,,0.24609375,,1.7639620304107666,,
13,27,,0.2666666805744171,,1.7638005018234253,,
13,27,,,,,0.1550387591123581,1.773780107498169
13,27,0.2541528344154358,,1.76388418674469,,,
14,28,,0.21875,,1.7653875350952148,,
14,29,,0.20000000298023224,,1.7672696113586426,,
14,29,,,,,0.1550387591123581,1.7713490724563599
14,29,0.24086378514766693,,1.7626895904541016,,,
15,30,,0.28125,,1.755684733390808,,
15,31,,0.25555557012557983,,1.7630726099014282,,
15,31,,,,,0.1627907007932663,1.76893150806427
15,31,0.27242523431777954,,1.7580080032348633,,,
16,32,,0.2890625,,1.750114917755127,,
16,33,,0.21111111342906952,,1.7597291469573975,,
16,33,,,,,0.1627907007932663,1.7664459943771362
16,33,0.25249168276786804,,1.7560007572174072,,,
17,34,,0.26171875,,1.7535204887390137,,
17,35,,0.23333333432674408,,1.759044885635376,,
17,35,,,,,0.1627907007932663,1.7637019157409668
17,35,0.2458471804857254,,1.7531720399856567,,,
18,36,,0.25,,1.7539420127868652,,
18,37,,0.24444444477558136,,1.7592999935150146,,
18,37,,,,,0.1782945692539215,1.7611160278320312
18,37,0.2541528344154358,,1.7498842477798462,,,
19,38,,0.30078125,,1.7389484643936157,,
19,39,,0.25555557012557983,,1.7486674785614014,,
19,39,,,,,0.1782945692539215,1.7583539485931396
19,39,0.27574750781059265,,1.743546485900879,,,
20,40,,0.25390625,,1.7355562448501587,,
20,41,,0.31111112236976624,,1.7403090000152588,,
20,41,,,,,0.1782945692539215,1.755424976348877
20,41,0.2574750781059265,,1.7398669719696045,,,
21,42,,0.2265625,,1.7400410175323486,,
21,43,,0.2888889014720917,,1.7381949424743652,,
21,43,,,,,0.1705426424741745,1.7519809007644653
21,43,0.2458471804857254,,1.737722635269165,,,
22,44,,0.23828125,,1.726585865020752,,
22,45,,0.2888889014720917,,1.7315865755081177,,
22,45,,,,,0.1705426424741745,1.7488805055618286
22,45,0.23754152655601501,,1.7308696508407593,,,
23,46,,0.28125,,1.7255948781967163,,
23,47,,0.2222222238779068,,1.7345548868179321,,
23,47,,,,,0.1705426424741745,1.7459046840667725
23,47,0.2591361999511719,,1.7263851165771484,,,
24,48,,0.23828125,,1.7193266153335571,,
24,49,,0.23333333432674408,,1.7063145637512207,,
24,49,,,,,0.1627907007932663,1.7427338361740112
24,49,0.23255814611911774,,1.7209217548370361,,,
25,50,,0.23828125,,1.7080692052841187,,
25,51,,0.20000000298023224,,1.7183284759521484,,
25,51,,,,,0.1705426424741745,1.7391542196273804
25,51,0.24086378514766693,,1.713176965713501,,,
26,52,,0.234375,,1.7170522212982178,,
26,53,,0.2777777910232544,,1.721473217010498,,
26,53,,,,,0.1705426424741745,1.7349961996078491
26,53,0.24750830233097076,,1.712051510810852,,,
27,54,,0.25390625,,1.7033723592758179,,
27,55,,0.20000000298023224,,1.7294920682907104,,
27,55,,,,,0.1705426424741745,1.7308998107910156
27,55,0.25581395626068115,,1.7052419185638428,,,
28,56,,0.2734375,,1.6863397359848022,,
28,57,,0.13333334028720856,,1.7714389562606812,,
28,57,,,,,0.1782945692539215,1.7255792617797852
28,57,0.2574750781059265,,1.7023686170578003,,,
29,58,,0.2578125,,1.688161849975586,,
29,59,,0.18888889253139496,,1.7177292108535767,,
29,59,,,,,0.1705426424741745,1.720947027206421
29,59,0.25581395626068115,,1.6911424398422241,,,
30,60,,0.265625,,1.6907035112380981,,
30,61,,0.2888889014720917,,1.66568922996521,,
30,61,,,,,0.1782945692539215,1.7170424461364746
30,61,0.2607973515987396,,1.6841552257537842,,,
31,62,,0.265625,,1.6702741384506226,,
31,63,,0.23333333432674408,,1.7195239067077637,,
31,63,,,,,0.1705426424741745,1.714135766029358
31,63,0.26744186878204346,,1.6783455610275269,,,
32,64,,0.26171875,,1.6748512983322144,,
32,65,,0.2222222238779068,,1.6843122243881226,,
32,65,,,,,0.1705426424741745,1.7132493257522583
32,65,0.25249168276786804,,1.6735694408416748,,,
33,66,,0.24609375,,1.6667420864105225,,
33,67,,0.2666666805744171,,1.652189016342163,,
33,67,,,,,0.1627907007932663,1.710184931755066
33,67,0.2541528344154358,,1.6641703844070435,,,
34,68,,0.23828125,,1.6747967004776,,
34,69,,0.2666666805744171,,1.6320585012435913,,
34,69,,,,,0.1627907007932663,1.7061485052108765
34,69,0.2574750781059265,,1.6575952768325806,,,
35,70,,0.28515625,,1.64436674118042,,
35,71,,0.25555557012557983,,1.6139672994613647,,
35,71,,,,,0.1627907007932663,1.7009493112564087
35,71,0.262458473443985,,1.6483162641525269,,,
36,72,,0.26171875,,1.6463217735290527,,
36,73,,0.31111112236976624,,1.6164861917495728,,
36,73,,,,,0.1782945692539215,1.696144461631775
36,73,0.262458473443985,,1.6436463594436646,,,
37,74,,0.25390625,,1.6355631351470947,,
37,75,,0.2888889014720917,,1.5642248392105103,,
37,75,,,,,0.1705426424741745,1.693781852722168
37,75,0.2574750781059265,,1.631880521774292,,,
38,76,,0.26171875,,1.6328423023223877,,
38,77,,0.24444444477558136,,1.61741304397583,,
38,77,,,,,0.1705426424741745,1.6918526887893677
38,77,0.262458473443985,,1.6255779266357422,,,
39,78,,0.27734375,,1.613038182258606,,
39,79,,0.21111111342906952,,1.6153392791748047,,
39,79,,,,,0.1782945692539215,1.69139564037323
39,79,0.25581395626068115,,1.625191569328308,,,
40,80,,0.29296875,,1.5764716863632202,,
40,81,,0.23333333432674408,,1.7026504278182983,,
40,81,,,,,0.1627907007932663,1.68938148021698
40,81,0.26411959528923035,,1.624787449836731,,,
41,82,,0.2890625,,1.5809087753295898,,
41,83,,0.25555557012557983,,1.6829277276992798,,
41,83,,,,,0.1782945692539215,1.6847882270812988
41,83,0.2707641124725342,,1.611034870147705,,,
42,84,,0.2421875,,1.618444561958313,,
42,85,,0.2222222238779068,,1.5792083740234375,,
42,85,,,,,0.1782945692539215,1.6815179586410522
42,85,0.2591361999511719,,1.5983450412750244,,,
43,86,,0.2578125,,1.6185481548309326,,
43,87,,0.2666666805744171,,1.6236199140548706,,
43,87,,,,,0.1782945692539215,1.6793184280395508
43,87,0.26411959528923035,,1.6004582643508911,,,
44,88,,0.30859375,,1.5626273155212402,,
44,89,,0.17777778208255768,,1.6250630617141724,,
44,89,,,,,0.1782945692539215,1.6805996894836426
