class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,1,,,,,0.19540229439735413,1.3857815265655518
,,,,0,1,,,0.2248157262802124,1.3864991664886475,,
,,,,1,3,,,,,0.1781609207391739,1.3834635019302368
,,,,1,3,,,0.2813267707824707,1.3854830265045166,,
,,,,2,5,,,,,0.3045977056026459,1.3804160356521606
,,,,2,5,,,0.31081080436706543,1.384602427482605,,
,,,,3,7,,,,,0.3218390941619873,1.3780755996704102
,,,,3,7,,,0.2985258102416992,1.382817268371582,,
,,,,4,9,,,,,0.31609195470809937,1.3757015466690063
,,,,4,9,,,0.32186731696128845,1.3808389902114868,,
,,,,5,11,,,,,0.32758620381355286,1.372322916984558
,,,,5,11,,,0.30343979597091675,1.3793069124221802,,
,,,,6,13,,,,,0.36206895112991333,1.367984414100647
,,,,6,13,,,0.33415234088897705,1.3754667043685913,,
,,,,7,15,,,,,0.3448275923728943,1.359223484992981
,,,,7,15,,,0.33415234088897705,1.3699828386306763,,
,,,,8,17,,,,,0.3448275923728943,1.3515119552612305
,,,,8,17,,,0.31449630856513977,1.3636471033096313,,
,,,,9,19,,,,,0.3448275923728943,1.345616102218628
,,,,9,19,,,0.34152334928512573,1.352359652519226,,
,,,,10,21,,,,,0.33908045291900635,1.3349862098693848
,,,,10,21,,,0.33415234088897705,1.3411442041397095,,
,,,,11,23,,,,,0.33908045291900635,1.3235565423965454
,,,,11,23,,,0.3931203782558441,1.3224729299545288,,
,,,,12,25,,,,,0.29885056614875793,1.3782895803451538
,,,,12,25,,,0.40417689085006714,1.300341010093689,,
,,,,13,27,,,,,0.29885056614875793,1.4459221363067627
,,,,13,27,,,0.4312039315700531,1.2744371891021729,,
,,,,14,29,,,,,0.4137931168079376,1.2775555849075317
,,,,14,29,,,0.45823097229003906,1.238444447517395,,
,,,,15,31,,,,,0.3333333432674408,1.409336805343628
,,,,15,31,,,0.46560195088386536,1.2075049877166748,,
,,,,16,33,,,,,0.3103448152542114,1.8767728805541992
,,,,16,33,,,0.4754299819469452,1.1581625938415527,,
,,,,17,35,,,,,0.4252873659133911,1.246396780014038
,,,,17,35,,,0.4877149760723114,1.1268731355667114,,
,,,,18,37,,,,,0.40229883790016174,1.458432674407959
,,,,18,37,,,0.5233415365219116,1.079558253288269,,
,,,,19,39,,,,,0.3563218414783478,1.3854235410690308
,,,,19,39,,,0.4680589735507965,1.1232587099075317,,
,,,,20,41,,,,,0.35057470202445984,1.6496596336364746
,,,,20,41,,,0.5135135054588318,1.041395902633667,,
,,,,21,43,,,,,0.4080459773540497,1.3778254985809326
,,,,21,43,,,0.5,1.066650152206421,,
,,,,22,45,,,,,0.3735632300376892,1.5918182134628296
,,,,22,45,,,0.5442260503768921,0.9917774200439453,,
,,,,23,47,,,,,0.37931033968925476,1.4813741445541382
,,,,23,47,,,0.5786240696907043,0.9302326440811157,,
,,,,24,49,,,,,0.4195402264595032,1.3587501049041748
,,,,24,49,,,0.6081081032752991,0.9164989590644836,,
,,,,25,51,,,,,0.3045977056026459,1.754345417022705
,,,,25,51,,,0.6412776708602905,0.8632036447525024,,
,,,,26,53,,,,,0.4195402264595032,1.348000168800354
,,,,26,53,,,0.6560196280479431,0.8223996758460999,,
,,,,27,55,,,,,0.44252872467041016,1.2523995637893677
,,,,27,55,,,0.6547911763191223,0.7927496433258057,,
,,,,28,57,,,,,0.44252872467041016,1.2833786010742188
,,,,28,57,,,0.684275209903717,0.7393856644630432,,
,,,,29,59,,,,,0.40229883790016174,1.3583027124404907
,,,,29,59,,,0.6805896759033203,0.7439197301864624,,
,,,,30,61,,,,,0.39080458879470825,1.4338750839233398
,,,,30,61,,,0.7149876952171326,0.6859058141708374,,
,,,,31,63,,,,,0.39080458879470825,1.5950239896774292
,,,,31,63,,,0.748157262802124,0.631167471408844,,
,,,,32,65,,,,,0.3218390941619873,1.4853484630584717
,,,,32,65,,,0.7813267707824707,0.6031781435012817,,
,,,,33,67,,,,,0.3965517282485962,1.8929979801177979
,,,,33,67,,,0.8034397959709167,0.565797746181488,,
,,,,34,69,,,,,0.3563218414783478,1.693135380744934
,,,,34,69,,,0.8108108043670654,0.5390179753303528,,
,,,,35,71,,,,,0.4195402264595032,1.6203932762145996
