class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,1,,,,,0.25287356972694397,1.4229189157485962
,,,,0,1,,,0.2506142556667328,1.4442678689956665,,
,,,,1,3,,,,,0.270114928483963,1.355747938156128
,,,,1,3,,,0.3046683073043823,1.4046381711959839,,
,,,,2,5,,,,,0.33908045291900635,1.3410364389419556
,,,,2,5,,,0.36609336733818054,1.3610072135925293,,
,,,,3,7,,,,,0.3563218414783478,1.3488572835922241
,,,,3,7,,,0.35872235894203186,1.3509644269943237,,
,,,,4,9,,,,,0.37931033968925476,1.352710247039795
,,,,4,9,,,0.37837839126586914,1.3349581956863403,,
,,,,5,11,,,,,0.4482758641242981,1.3365352153778076
,,,,5,11,,,0.3685503602027893,1.322969675064087,,
,,,,6,13,,,,,0.4137931168079376,1.3206071853637695
,,,,6,13,,,0.4004913866519928,1.3088717460632324,,
,,,,7,15,,,,,0.4252873659133911,1.3067668676376343
,,,,7,15,,,0.40909090638160706,1.2963979244232178,,
,,,,8,17,,,,,0.4252873659133911,1.2905441522598267
,,,,8,17,,,0.3992629051208496,1.2970978021621704,,
,,,,9,19,,,,,0.4252873659133911,1.2751829624176025
,,,,9,19,,,0.4201474189758301,1.272739291191101,,
,,,,10,21,,,,,0.43103447556495667,1.270401120185852
,,,,10,21,,,0.4373464286327362,1.2701574563980103,,
,,,,11,23,,,,,0.4367816150188446,1.2686753273010254
,,,,11,23,,,0.43980345129966736,1.2536159753799438,,
,,,,12,25,,,,,0.4482758641242981,1.2584775686264038
,,,,12,25,,,0.43980345129966736,1.2371644973754883,,
,,,,13,27,,,,,0.44252872467041016,1.2424849271774292
,,,,13,27,,,0.4508599638938904,1.2341158390045166,,
,,,,14,29,,,,,0.44252872467041016,1.2268010377883911
,,,,14,29,,,0.4373464286327362,1.2271499633789062,,
,,,,15,31,,,,,0.4597701132297516,1.2134406566619873
,,,,15,31,,,0.4422604441642761,1.1992607116699219,,
,,,,16,33,,,,,0.4712643623352051,1.2099047899246216
,,,,16,33,,,0.45823097229003906,1.1949888467788696,,
,,,,17,35,,,,,0.43103447556495667,1.2099215984344482
,,,,17,35,,,0.47788697481155396,1.1792482137680054,,
,,,,18,37,,,,,0.4367816150188446,1.2031306028366089
,,,,18,37,,,0.5,1.1600645780563354,,
,,,,19,39,,,,,0.45402297377586365,1.1874382495880127
,,,,19,39,,,0.4742014706134796,1.1568154096603394,,
,,,,20,41,,,,,0.477011501789093,1.172822117805481
,,,,20,41,,,0.48280099034309387,1.1403257846832275,,
,,,,21,43,,,,,0.4712643623352051,1.1562023162841797
,,,,21,43,,,0.5049139857292175,1.1321238279342651,,
,,,,22,45,,,,,0.4885057508945465,1.1397508382797241
,,,,22,45,,,0.4987714886665344,1.1128638982772827,,
,,,,23,47,,,,,0.517241358757019,1.126438856124878
,,,,23,47,,,0.5147420167922974,1.099489688873291,,
