epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,0,,0.16015625,,1.815190076828003,,
0,1,,0.18888889253139496,,1.813615083694458,,
0,1,,,,,0.1550387591123581,1.7912675142288208
0,1,0.15614618360996246,,1.8320965766906738,,,
1,2,,0.234375,,1.781753659248352,,
1,3,,0.2666666805744171,,1.8099181652069092,,
1,3,,,,,0.19379845261573792,1.7877625226974487
1,3,0.2342192679643631,,1.7831252813339233,,,
2,4,,0.30078125,,1.740485429763794,,
2,5,,0.31111112236976624,,1.7238062620162964,,
2,5,,,,,0.23255814611911774,1.7835649251937866
2,5,0.3139534890651703,,1.7403286695480347,,,
3,6,,0.3515625,,1.7098699808120728,,
3,7,,0.3222222328186035,,1.7005348205566406,,
3,7,,,,,0.2868216931819916,1.77961266040802
3,7,0.3654485046863556,,1.7071360349655151,,,
4,8,,0.40625,,1.651849627494812,,
4,9,,0.4000000059604645,,1.6545000076293945,,
4,9,,,,,0.2868216931819916,1.7759158611297607
4,9,0.4053156077861786,,1.6629892587661743,,,
5,10,,0.3671875,,1.6805706024169922,,
5,11,,0.5111111402511597,,1.622897982597351,,
5,11,,,,,0.2868216931819916,1.7731596231460571
5,11,0.41029900312423706,,1.65426766872406,,,
6,12,,0.36328125,,1.652146816253662,,
6,13,,0.4000000059604645,,1.6206605434417725,,
6,13,,,,,0.302325576543808,1.7716495990753174
6,13,0.38205981254577637,,1.6274349689483643,,,
7,14,,0.4375,,1.6046491861343384,,
7,15,,0.35555556416511536,,1.615425705909729,,
7,15,,,,,0.2868216931819916,1.7727214097976685
7,15,0.41029900312423706,,1.6071878671646118,,,
8,16,,0.40234375,,1.6033703088760376,,
8,17,,0.46666666865348816,,1.4823814630508423,,
8,17,,,,,0.27131783962249756,1.7757298946380615
8,17,0.41860464215278625,,1.5729447603225708,,,
9,18,,0.40234375,,1.5525786876678467,,
9,19,,0.5111111402511597,,1.5586453676223755,,
