class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,1,,,,,0.3045977056026459,1.4140961170196533
,,,,0,1,,,0.25429975986480713,1.5070854425430298,,
,,,,1,3,,,,,0.2931034564971924,1.4282788038253784
,,,,1,3,,,0.27886977791786194,1.3908307552337646,,
,,,,2,5,,,,,0.2298850566148758,1.4234716892242432
,,,,2,5,,,0.30835381150245667,1.3732231855392456,,
,,,,3,7,,,,,0.25287356972694397,1.399736762046814
,,,,3,7,,,0.3046683073043823,1.3693782091140747,,
,,,,4,9,,,,,0.2586206793785095,1.371329426765442
,,,,4,9,,,0.3058968186378479,1.3626034259796143,,
,,,,5,11,,,,,0.3448275923728943,1.3467246294021606
,,,,5,11,,,0.3181818127632141,1.3463726043701172,,
,,,,6,13,,,,,0.36206895112991333,1.3359739780426025
,,,,6,13,,,0.3452088534832001,1.3374749422073364,,
,,,,7,15,,,,,0.36781609058380127,1.3352247476577759
,,,,7,15,,,0.32309582829475403,1.3405197858810425,,
,,,,8,17,,,,,0.36781609058380127,1.3341022729873657
,,,,8,17,,,0.3390663266181946,1.3416811227798462,,
,,,,9,19,,,,,0.4482758641242981,1.3290398120880127
,,,,9,19,,,0.3734643757343292,1.3303511142730713,,
,,,,10,21,,,,,0.4195402264595032,1.334730863571167
,,,,10,21,,,0.3452088534832001,1.324018955230713,,
,,,,11,23,,,,,0.4195402264595032,1.3426752090454102
,,,,11,23,,,0.3697788715362549,1.3233693838119507,,
,,,,12,25,,,,,0.3045977056026459,1.348739504814148
,,,,12,25,,,0.3943488895893097,1.3124525547027588,,
,,,,13,27,,,,,0.3218390941619873,1.3614095449447632
,,,,13,27,,,0.34643733501434326,1.312576174736023,,
,,,,14,29,,,,,0.35057470202445984,1.356142282485962
,,,,14,29,,,0.37100738286972046,1.3060293197631836,,
,,,,15,31,,,,,0.3965517282485962,1.322616457939148
,,,,15,31,,,0.3820638954639435,1.299431562423706,,
,,,,16,33,,,,,0.3850574791431427,1.297349214553833
,,,,16,33,,,0.40909090638160706,1.2882736921310425,,
,,,,17,35,,,,,0.43103447556495667,1.2838906049728394
,,,,17,35,,,0.37223586440086365,1.285888671875,,
,,,,18,37,,,,,0.3735632300376892,1.3036715984344482
,,,,18,37,,,0.3943488895893097,1.2682853937149048,,
,,,,19,39,,,,,0.36781609058380127,1.2984408140182495
,,,,19,39,,,0.41646191477775574,1.267953634262085,,
,,,,20,41,,,,,0.4367816150188446,1.2613118886947632
,,,,20,41,,,0.414004921913147,1.2605412006378174,,
,,,,21,43,,,,,0.4655172526836395,1.2447412014007568
,,,,21,43,,,0.40417689085006714,1.2451423406600952,,
,,,,22,45,,,,,0.4655172526836395,1.2655043601989746
,,,,22,45,,,0.43488943576812744,1.2301276922225952,,
,,,,23,47,,,,,0.4482758641242981,1.261143445968628
,,,,23,47,,,0.4262899160385132,1.2338566780090332,,
,,,,24,49,,,,,0.4252873659133911,1.221644639968872
,,,,24,49,,,0.43366092443466187,1.2118141651153564,,
,,,,25,51,,,,,0.4712643623352051,1.202285885810852
,,,,25,51,,,0.414004921913147,1.2282987833023071,,
,,,,26,53,,,,,0.4712643623352051,1.2119140625
,,,,26,53,,,0.4422604441642761,1.1970661878585815,,
,,,,27,55,,,,,0.4482758641242981,1.217686414718628
,,,,27,55,,,0.43488943576812744,1.1809594631195068,,
