class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,1,,,,,0.19540229439735413,3.2360727787017822
,,,,0,1,,,0.26658475399017334,1.86432683467865,,
,,,,1,3,,,,,0.32758620381355286,2.4073808193206787
,,,,1,3,,,0.2493857443332672,1.8549561500549316,,
,,,,2,5,,,,,0.3218390941619873,2.2485969066619873
,,,,2,5,,,0.3427518308162689,1.77426016330719,,
,,,,3,7,,,,,0.3850574791431427,1.7971727848052979
,,,,3,7,,,0.3304668366909027,1.7072447538375854,,
,,,,4,9,,,,,0.3045977056026459,1.577994465827942
,,,,4,9,,,0.3636363744735718,1.5282872915267944,,
,,,,5,11,,,,,0.18965516984462738,1.701006293296814
,,,,5,11,,,0.3329238295555115,1.3963263034820557,,
,,,,6,13,,,,,0.31609195470809937,1.328505277633667
,,,,6,13,,,0.3243243098258972,1.3479318618774414,,
,,,,7,15,,,,,0.33908045291900635,1.3937251567840576
,,,,7,15,,,0.3918918967247009,1.2776397466659546,,
,,,,8,17,,,,,0.36781609058380127,1.372012734413147
,,,,8,17,,,0.3550368547439575,1.3261266946792603,,
,,,,9,19,,,,,0.36781609058380127,1.448427438735962
,,,,9,19,,,0.3808353841304779,1.3519480228424072,,
,,,,10,21,,,,,0.43103447556495667,1.3612158298492432
,,,,10,21,,,0.4324324429035187,1.4695566892623901,,
,,,,11,23,,,,,0.36206895112991333,1.3550008535385132
,,,,11,23,,,0.4066339135169983,1.3665590286254883,,
,,,,12,25,,,,,0.3850574791431427,1.2417434453964233
,,,,12,25,,,0.4373464286327362,1.2380634546279907,,
,,,,13,27,,,,,0.44252872467041016,1.2693365812301636
,,,,13,27,,,0.4508599638938904,1.1570734977722168,,
,,,,14,29,,,,,0.4712643623352051,1.2229607105255127
,,,,14,29,,,0.5085995197296143,1.1711095571517944,,
,,,,15,31,,,,,0.48275861144065857,1.258882761001587
,,,,15,31,,,0.488943487405777,1.1670769453048706,,
,,,,16,33,,,,,0.4655172526836395,1.192695140838623
,,,,16,33,,,0.5024570226669312,1.1229305267333984,,
,,,,17,35,,,,,0.5057471394538879,1.159946084022522
,,,,17,35,,,0.4987714886665344,1.0826970338821411,,
,,,,18,37,,,,,0.33908045291900635,1.3291975259780884
,,,,18,37,,,0.47297295928001404,1.1286660432815552,,
,,,,19,39,,,,,0.37931033968925476,1.319187879562378
,,,,19,39,,,0.4754299819469452,1.1207529306411743,,
,,,,20,41,,,,,0.25287356972694397,1.6948496103286743
,,,,20,41,,,0.44717445969581604,1.2640681266784668,,
,,,,21,43,,,,,0.36781609058380127,1.4648486375808716
,,,,21,43,,,0.3673218786716461,1.4628405570983887,,
,,,,22,45,,,,,0.43103447556495667,1.2621228694915771
,,,,22,45,,,0.3943488895893097,1.2837647199630737,,
,,,,23,47,,,,,0.4080459773540497,1.4522150754928589
,,,,23,47,,,0.4434889554977417,1.1868082284927368,,
,,,,24,49,,,,,0.4252873659133911,1.2636603116989136
,,,,24,49,,,0.4115478992462158,1.180083155632019,,
,,,,25,51,,,,,0.5344827771186829,1.1732900142669678
,,,,25,51,,,0.5049139857292175,1.1556878089904785,,
,,,,26,53,,,,,0.4482758641242981,1.1574167013168335
,,,,26,53,,,0.5085995197296143,1.1036490201950073,,
,,,,27,55,,,,,0.4252873659133911,1.2855561971664429
,,,,27,55,,,0.5061424970626831,1.045677661895752,,
,,,,28,57,,,,,0.4252873659133911,1.546785593032837
,,,,28,57,,,0.49754300713539124,1.0669478178024292,,
,,,,29,59,,,,,0.4597701132297516,1.3150616884231567
,,,,29,59,,,0.45823097229003906,1.1254328489303589,,
,,,,30,61,,,,,0.43103447556495667,1.2582969665527344
,,,,30,61,,,0.4054054021835327,1.2241722345352173,,
,,,,31,63,,,,,0.4367816150188446,1.1348695755004883
,,,,31,63,,,0.4815724790096283,1.1359741687774658,,
,,,,32,65,,,,,0.4482758641242981,1.171506643295288
,,,,32,65,,,0.5085995197296143,1.1078057289123535,,
,,,,33,67,,,,,0.4655172526836395,1.2270820140838623
,,,,33,67,,,0.4754299819469452,1.0949746370315552,,
,,,,34,69,,,,,0.43103447556495667,1.2114659547805786
,,,,34,69,,,0.5049139857292175,1.1339831352233887,,
,,,,35,71,,,,,0.545976996421814,1.1585392951965332
,,,,35,71,,,0.4754299819469452,1.0959296226501465,,
,,,,36,73,,,,,0.49425286054611206,1.1727790832519531
,,,,36,73,,,0.49631449580192566,1.069864273071289,,
,,,,37,75,,,,,0.43103447556495667,1.206337809562683
,,,,37,75,,,0.5135135054588318,1.055285096168518,,
,,,,38,77,,,,,0.477011501789093,1.1443631649017334
,,,,38,77,,,0.5343980193138123,1.0226505994796753,,
,,,,39,79,,,,,0.5114942789077759,1.0783940553665161
,,,,39,79,,,0.5122849941253662,1.0458530187606812,,
,,,,40,81,,,,,0.5574712753295898,1.0833665132522583
,,,,40,81,,,0.5073710083961487,1.0380290746688843,,
,,,,41,83,,,,,0.40229883790016174,1.1504303216934204
,,,,41,83,,,0.4705159664154053,1.0858538150787354,,
,,,,42,85,,,,,0.4712643623352051,1.228696584701538
,,,,42,85,,,0.5073710083961487,1.0369610786437988,,
,,,,43,87,,,,,0.5057471394538879,1.168622612953186
,,,,43,87,,,0.5110564827919006,1.056251883506775,,
,,,,44,89,,,,,0.5632184147834778,1.0798121690750122
,,,,44,89,,,0.5098280310630798,1.0263042449951172,,
,,,,45,91,,,,,0.4252873659133911,1.1423511505126953
,,,,45,91,,,0.5147420167922974,0.979712963104248,,
,,,,46,93,,,,,0.3965517282485962,1.1507301330566406
,,,,46,93,,,0.5012285113334656,0.9956069588661194,,
,,,,47,95,,,,,0.49425286054611206,1.0905723571777344
,,,,47,95,,,0.5454545617103577,0.965835452079773,,
,,,,48,97,,,,,0.545976996421814,1.182242512702942
,,,,48,97,,,0.5331695079803467,1.0008724927902222,,
,,,,49,99,,,,,0.3563218414783478,1.1719495058059692
,,,,49,99,,,0.5073710083961487,1.0260642766952515,,
,,,,50,101,,,,,0.4137931168079376,1.1773097515106201
,,,,50,101,,,0.4926289916038513,1.0449904203414917,,
,,,,51,103,,,,,0.3965517282485962,1.1614726781845093
,,,,51,103,,,0.525798499584198,1.0029484033584595,,
,,,,52,105,,,,,0.48275861144065857,1.1868712902069092
,,,,52,105,,,0.5872235894203186,0.9905126094818115,,
,,,,53,107,,,,,0.5862069129943848,1.0614652633666992
,,,,53,107,,,0.49754300713539124,1.016548752784729,,
,,,,54,109,,,,,0.4885057508945465,1.0907306671142578
,,,,54,109,,,0.5577395558357239,1.0099133253097534,,
,,,,55,111,,,,,0.477011501789093,1.1333855390548706
,,,,55,111,,,0.5884521007537842,0.9785062670707703,,
,,,,56,113,,,,,0.4195402264595032,1.1867836713790894
,,,,56,113,,,0.5614250898361206,0.9646051526069641,,
,,,,57,115,,,,,0.5919540524482727,1.0116674900054932
,,,,57,115,,,0.538083553314209,0.9913377165794373,,
,,,,58,117,,,,,0.5632184147834778,1.0157270431518555
,,,,58,117,,,0.5823096036911011,0.9461567997932434,,
,,,,59,119,,,,,0.48275861144065857,1.1118570566177368
,,,,59,119,,,0.585995078086853,0.9272856712341309,,
,,,,60,121,,,,,0.5,1.1528388261795044
,,,,60,121,,,0.5503685474395752,0.9960367679595947,,
,,,,61,123,,,,,0.5574712753295898,1.1114137172698975
,,,,61,123,,,0.5073710083961487,1.044594645500183,,
,,,,62,125,,,,,0.49425286054611206,1.1167114973068237
,,,,62,125,,,0.5773955583572388,0.9289758205413818,,
,,,,63,127,,,,,0.48275861144065857,1.1150459051132202
,,,,63,127,,,0.5614250898361206,0.9763293266296387,,
,,,,64,129,,,,,0.5,1.0938650369644165
,,,,64,129,,,0.5515970587730408,0.9561485052108765,,
,,,,65,131,,,,,0.6091954112052917,1.0730148553848267
,,,,65,131,,,0.5282555222511292,0.9672515392303467,,
,,,,66,133,,,,,0.5804597735404968,1.0887980461120605
,,,,66,133,,,0.5528255701065063,0.9402129650115967,,
,,,,67,135,,,,,0.5919540524482727,1.0388396978378296
,,,,67,135,,,0.5945945978164673,0.9220093488693237,,
,,,,68,137,,,,,0.5747126340866089,1.0462700128555298
,,,,68,137,,,0.5884521007537842,0.928378701210022,,
,,,,69,139,,,,,0.4367816150188446,1.103580355644226
,,,,69,139,,,0.560196578502655,0.9469493627548218,,
,,,,70,141,,,,,0.6091954112052917,1.0158895254135132
,,,,70,141,,,0.6081081032752991,0.9216229915618896,,
,,,,71,143,,,,,0.6091954112052917,0.9651398062705994
,,,,71,143,,,0.6007370948791504,0.8831215500831604,,
,,,,72,145,,,,,0.5862069129943848,0.9936372637748718
,,,,72,145,,,0.6068795919418335,0.898121178150177,,
,,,,73,147,,,,,0.6321839094161987,0.9877628087997437
,,,,73,147,,,0.5921375751495361,0.9392010569572449,,
,,,,74,149,,,,,0.4137931168079376,1.3630764484405518
,,,,74,149,,,0.6007370948791504,0.9152340888977051,,
,,,,75,151,,,,,0.4367816150188446,1.4130847454071045
,,,,75,151,,,0.5208845138549805,0.9959774613380432,,
,,,,76,153,,,,,0.5,1.1329612731933594
,,,,76,153,,,0.5294840335845947,0.9719918966293335,,
,,,,77,155,,,,,0.517241358757019,1.1252222061157227
,,,,77,155,,,0.5331695079803467,1.0302194356918335,,
,,,,78,157,,,,,0.5977011322975159,1.0474138259887695
,,,,78,157,,,0.5712530612945557,0.946291446685791,,
,,,,79,159,,,,,0.522988498210907,1.1572154760360718
,,,,79,159,,,0.6289926171302795,0.898780107498169,,
,,,,80,161,,,,,0.568965494632721,1.1216614246368408
,,,,80,161,,,0.5245700478553772,0.9486678838729858,,
,,,,81,163,,,,,0.5574712753295898,1.1089890003204346
,,,,81,163,,,0.601965606212616,0.9096011519432068,,
,,,,82,165,,,,,0.517241358757019,1.1156725883483887
,,,,82,165,,,0.5687960982322693,0.9492791295051575,,
,,,,83,167,,,,,0.5747126340866089,1.042038083076477
,,,,83,167,,,0.5835380554199219,0.8892333507537842,,
,,,,84,169,,,,,0.5517241358757019,1.0454667806625366
,,,,84,169,,,0.5945945978164673,0.8659029603004456,,
,,,,85,171,,,,,0.5919540524482727,1.0956387519836426
,,,,85,171,,,0.6461916565895081,0.8741443157196045,,
,,,,86,173,,,,,0.4655172526836395,1.188024640083313
,,,,86,173,,,0.6093366146087646,0.890932559967041,,
,,,,87,175,,,,,0.45402297377586365,1.0937670469284058
,,,,87,175,,,0.5933660864830017,0.8870850205421448,,
,,,,88,177,,,,,0.5919540524482727,0.9723137021064758
,,,,88,177,,,0.5614250898361206,0.9133729934692383,,
,,,,89,179,,,,,0.5862069129943848,1.05959153175354
,,,,89,179,,,0.5884521007537842,0.8796581625938416,,
,,,,90,181,,,,,0.4252873659133911,1.1671342849731445
,,,,90,181,,,0.6093366146087646,0.8970186710357666,,
,,,,91,183,,,,,0.5114942789077759,1.162933349609375
,,,,91,183,,,0.5712530612945557,0.9378383159637451,,
,,,,92,185,,,,,0.5574712753295898,1.0766881704330444
,,,,92,185,,,0.5896806120872498,0.9487656950950623,,
,,,,93,187,,,,,0.45402297377586365,1.021346092224121
,,,,93,187,,,0.5712530612945557,0.9291802644729614,,
,,,,94,189,,,,,0.517241358757019,1.0944522619247437
,,,,94,189,,,0.5958231091499329,0.9344451427459717,,
,,,,95,191,,,,,0.37931033968925476,1.1698007583618164
,,,,95,191,,,0.560196578502655,0.929766833782196,,
,,,,96,193,,,,,0.45402297377586365,1.1421159505844116
,,,,96,193,,,0.49754300713539124,0.993101179599762,,
,,,,97,195,,,,,0.568965494632721,1.0436434745788574
,,,,97,195,,,0.5294840335845947,0.9423993229866028,,
,,,,98,197,,,,,0.5574712753295898,1.0431711673736572
,,,,98,197,,,0.6130220890045166,0.8824811577796936,,
,,,,99,199,,,,,0.5977011322975159,1.0302420854568481
,,,,99,199,,,0.5958231091499329,0.8654049038887024,,
,,,,100,201,,,,,0.5919540524482727,1.1232115030288696
,,,,100,201,,,0.6449631452560425,0.8553891181945801,,
,,,,101,203,,,,,0.5862069129943848,1.051987648010254
,,,,101,203,,,0.6425061225891113,0.8833920955657959,,
,,,,102,205,,,,,0.5804597735404968,0.9864934086799622
