class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,2,,,,,0.2711864411830902,1.380929708480835
,,,,0,2,,,0.2583862245082855,1.3861653804779053,,
,,,,1,5,,,,,0.402542382478714,1.3647792339324951
,,,,1,5,,,0.48413416743278503,1.3472480773925781,,
,,,,2,8,,,,,0.4237288236618042,1.3380934000015259
,,,,2,8,,,0.5004532933235168,1.3143061399459839,,
,,,,3,11,,,,,0.4661017060279846,1.2980087995529175
,,,,3,11,,,0.5240253806114197,1.2789387702941895,,
,,,,4,14,,,,,0.4957627058029175,1.2520028352737427
,,,,4,14,,,0.5240253806114197,1.2350133657455444,,
,,,,5,17,,,,,0.508474588394165,1.1955028772354126
,,,,5,17,,,0.5294650793075562,1.193767786026001,,
,,,,6,20,,,,,0.5381355881690979,1.145028829574585
,,,,6,20,,,0.5430643558502197,1.1578961610794067,,
,,,,7,23,,,,,0.5508474707603455,1.1064541339874268
,,,,7,23,,,0.553037166595459,1.1066404581069946,,
,,,,8,26,,,,,0.5254237055778503,1.0892225503921509
,,,,8,26,,,0.5666364431381226,1.0760717391967773,,
,,,,9,29,,,,,0.5466101765632629,1.0502636432647705
,,,,9,29,,,0.5847688317298889,1.052858591079712,,
,,,,10,32,,,,,0.5508474707603455,1.0232720375061035
,,,,10,32,,,0.6128739714622498,1.010123372077942,,
,,,,11,35,,,,,0.5593220591545105,1.0114270448684692
,,,,11,35,,,0.6201269030570984,0.9865224361419678,,
,,,,12,38,,,,,0.5635592937469482,1.0268583297729492
,,,,12,38,,,0.6409791707992554,0.9667631387710571,,
,,,,13,41,,,,,0.5466101765632629,0.9926171898841858
,,,,13,41,,,0.6518585681915283,0.9295505881309509,,
,,,,14,44,,,,,0.6144067645072937,1.0115275382995605
,,,,14,44,,,0.6527652144432068,0.9057413339614868,,
,,,,15,47,,,,,0.6144067645072937,0.9228696227073669
,,,,15,47,,,0.659111499786377,0.9033648371696472,,
,,,,16,50,,,,,0.6228813529014587,1.0440280437469482
,,,,16,50,,,0.673617422580719,0.870853841304779,,
,,,,17,53,,,,,0.5847457647323608,0.9373394846916199
,,,,17,53,,,0.6500453352928162,0.8788465261459351,,
,,,,18,56,,,,,0.6059321761131287,0.8966080546379089
,,,,18,56,,,0.5883952975273132,0.9064174890518188,,
,,,,19,59,,,,,0.6059321761131287,0.9082726240158081
,,,,19,59,,,0.6681777238845825,0.8526240587234497,,
,,,,20,62,,,,,0.555084764957428,0.8858716487884521
,,,,20,62,,,0.6754306554794312,0.8263136744499207,,
,,,,21,65,,,,,0.6228813529014587,0.8562604188919067
,,,,21,65,,,0.6554850339889526,0.8428546786308289,,
,,,,22,68,,,,,0.6271186470985413,0.8777009844779968
,,,,22,68,,,0.6446056365966797,0.8132842183113098,,
,,,,23,71,,,,,0.5635592937469482,0.9222374558448792
,,,,23,71,,,0.6473254561424255,0.8151699304580688,,
,,,,24,74,,,,,0.6101694703102112,0.8792798519134521
,,,,24,74,,,0.6210335493087769,0.8443506956100464,,
,,,,25,77,,,,,0.6059321761131287,0.9155304431915283
,,,,25,77,,,0.6446056365966797,0.8392249345779419,,
,,,,26,80,,,,,0.5254237055778503,0.9178763628005981
,,,,26,80,,,0.667271077632904,0.7796772718429565,,
,,,,27,83,,,,,0.6355932354927063,0.8678323030471802
,,,,27,83,,,0.5711695551872253,0.8873465657234192,,
,,,,28,86,,,,,0.6144067645072937,0.8556849956512451
,,,,28,86,,,0.6146872043609619,0.8179705739021301,,
,,,,29,89,,,,,0.5805084705352783,0.8632640242576599
,,,,29,89,,,0.6681777238845825,0.7607234716415405,,
,,,,30,92,,,,,0.6355932354927063,0.897570788860321
,,,,30,92,,,0.6645511984825134,0.7732549905776978,,
,,,,31,95,,,,,0.6737288236618042,0.795519232749939
,,,,31,95,,,0.7017225623130798,0.7527204751968384,,
,,,,32,98,,,,,0.6610169410705566,0.8145207166671753
,,,,32,98,,,0.7026292085647583,0.7250441312789917,,
,,,,33,101,,,,,0.5847457647323608,0.9015469551086426
,,,,33,101,,,0.6953762173652649,0.7135083675384521,,
,,,,34,104,,,,,0.6525423526763916,0.7985795736312866
,,,,34,104,,,0.6300997138023376,0.8039284944534302,,
,,,,35,107,,,,,0.6737288236618042,0.7856707572937012
,,,,35,107,,,0.6872166991233826,0.7048782706260681,,
,,,,36,110,,,,,0.6737288236618042,0.8002440929412842
,,,,36,110,,,0.6917497515678406,0.7016653418540955,,
,,,,37,113,,,,,0.6186440587043762,0.8690173625946045
,,,,37,113,,,0.7053490281105042,0.7283220291137695,,
,,,,38,116,,,,,0.6101694703102112,0.8041436672210693
,,,,38,116,,,0.6971895098686218,0.7107570767402649,,
,,,,39,119,,,,,0.6991525292396545,0.762693464756012
,,,,39,119,,,0.6681777238845825,0.7203491926193237,,
,,,,40,122,,,,,0.7076271176338196,0.7511046528816223
,,,,40,122,,,0.7098821401596069,0.6938228011131287,,
,,,,41,125,,,,,0.6567796468734741,0.779795229434967
,,,,41,125,,,0.6999093294143677,0.6665776371955872,,
