class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,2,,,,,0.24152542650699615,1.3836897611618042
,,,,0,2,,,0.26926565170288086,1.3809638023376465,,
,,,,1,5,,,,,0.27542373538017273,1.3775490522384644
,,,,1,5,,,0.3390752375125885,1.3692548274993896,,
,,,,2,8,,,,,0.33474576473236084,1.3692606687545776
,,,,2,8,,,0.3218494951725006,1.3590916395187378,,
,,,,3,11,,,,,0.3262711763381958,1.3562508821487427
,,,,3,11,,,0.4360834062099457,1.3477758169174194,,
,,,,4,14,,,,,0.402542382478714,1.3415403366088867
,,,,4,14,,,0.45421576499938965,1.3345059156417847,,
,,,,5,17,,,,,0.44915252923965454,1.3269602060317993
,,,,5,17,,,0.48413416743278503,1.3225878477096558,,
,,,,6,20,,,,,0.48728814721107483,1.3130793571472168
,,,,6,20,,,0.508612871170044,1.3039119243621826,,
,,,,7,23,,,,,0.47457626461982727,1.2979177236557007
,,,,7,23,,,0.49682682752609253,1.2867021560668945,,
,,,,8,26,,,,,0.4788135588169098,1.2786058187484741
,,,,8,26,,,0.5176790356636047,1.2652318477630615,,
,,,,9,29,,,,,0.4788135588169098,1.2555882930755615
,,,,9,29,,,0.5149592161178589,1.2453159093856812,,
,,,,10,32,,,,,0.5127118825912476,1.2311204671859741
,,,,10,32,,,0.5185856819152832,1.2231205701828003,,
,,,,11,35,,,,,0.5254237055778503,1.2100954055786133
,,,,11,35,,,0.5602900981903076,1.20261549949646,,
,,,,12,38,,,,,0.5211864113807678,1.1880285739898682
,,,,12,38,,,0.5657298564910889,1.1787009239196777,,
,,,,13,41,,,,,0.5254237055778503,1.164115309715271
,,,,13,41,,,0.5630099773406982,1.1582075357437134,,
,,,,14,44,,,,,0.5254237055778503,1.1385259628295898
,,,,14,44,,,0.5729827880859375,1.1353133916854858,,
,,,,15,47,,,,,0.5381355881690979,1.1252390146255493
,,,,15,47,,,0.5648232102394104,1.1151646375656128,,
,,,,16,50,,,,,0.5423728823661804,1.1137115955352783
,,,,16,50,,,0.5693563222885132,1.1012835502624512,,
,,,,17,53,,,,,0.5381355881690979,1.0953466892242432
,,,,17,53,,,0.5820489525794983,1.0808171033859253,,
,,,,18,56,,,,,0.5211864113807678,1.0798490047454834
,,,,18,56,,,0.5611967444419861,1.0594805479049683,,
,,,,19,59,,,,,0.5423728823661804,1.0657089948654175
,,,,19,59,,,0.5729827880859375,1.0421043634414673,,
,,,,20,62,,,,,0.5593220591545105,1.0589743852615356
,,,,20,62,,,0.5847688317298889,1.0219151973724365,,
,,,,21,65,,,,,0.5423728823661804,1.0423154830932617
,,,,21,65,,,0.5829555988311768,1.0213122367858887,,
,,,,22,68,,,,,0.5466101765632629,1.0271782875061035
,,,,22,68,,,0.5874886512756348,0.9935958981513977,,
,,,,23,71,,,,,0.5508474707603455,1.0159783363342285
,,,,23,71,,,0.6010879278182983,0.9947042465209961,,
,,,,24,74,,,,,0.5677965879440308,1.0126867294311523
,,,,24,74,,,0.6165004372596741,0.965127170085907,,
,,,,25,77,,,,,0.5593220591545105,0.9977540969848633
,,,,25,77,,,0.6146872043609619,0.9618958234786987,,
,,,,26,80,,,,,0.5762711763381958,0.9800171852111816
,,,,26,80,,,0.6174070835113525,0.9519364833831787,,
,,,,27,83,,,,,0.5677965879440308,0.9727933406829834
,,,,27,83,,,0.633726179599762,0.9219699501991272,,
,,,,28,86,,,,,0.5805084705352783,0.9694291353225708
,,,,28,86,,,0.6192203164100647,0.927839994430542,,
,,,,29,89,,,,,0.5847457647323608,0.955148458480835
,,,,29,89,,,0.6446056365966797,0.9089783430099487,,
,,,,30,92,,,,,0.6355932354927063,0.937378466129303
,,,,30,92,,,0.6582049131393433,0.8948823809623718,,
,,,,31,95,,,,,0.6525423526763916,0.9282795786857605
,,,,31,95,,,0.6464188694953918,0.886688232421875,,
,,,,32,98,,,,,0.6059321761131287,0.9275807738304138
,,,,32,98,,,0.6582049131393433,0.8766824007034302,,
,,,,33,101,,,,,0.5932203531265259,0.9217971563339233
,,,,33,101,,,0.6473254561424255,0.8731045722961426,,
,,,,34,104,,,,,0.6355932354927063,0.9065374732017517
,,,,34,104,,,0.6527652144432068,0.854326605796814,,
,,,,35,107,,,,,0.6228813529014587,0.9047598242759705
,,,,35,107,,,0.6663644313812256,0.8440743684768677,,
,,,,36,110,,,,,0.6440678238868713,0.888290524482727
,,,,36,110,,,0.6790571212768555,0.8265613317489624,,
,,,,37,111,,,,,0.6440678238868713,0.8886801600456238
,,,,37,110,,,0.671875,0.7935159206390381,,
0.8103448152542114,0.609375,0.6315789222717285,0.4655172526836395,38,111,0.6286919713020325,0.8906641602516174,,,,
