class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,2,,,,,0.2838982939720154,1.3871946334838867
,,,,0,2,,,0.3436083495616913,1.3851091861724854,,
,,,,1,5,,,,,0.35169491171836853,1.384103536605835
,,,,1,5,,,0.39619219303131104,1.371825933456421,,
,,,,2,8,,,,,0.41525423526763916,1.3772923946380615
,,,,2,8,,,0.4270172119140625,1.3606021404266357,,
,,,,3,11,,,,,0.41525423526763916,1.363392949104309
,,,,3,11,,,0.4478694498538971,1.3489400148391724,,
,,,,4,14,,,,,0.41525423526763916,1.3449583053588867
,,,,4,14,,,0.4487760663032532,1.334149956703186,,
,,,,5,17,,,,,0.43220338225364685,1.3249346017837524
,,,,5,17,,,0.45421576499938965,1.3182681798934937,,
,,,,6,20,,,,,0.42796608805656433,1.3054447174072266
,,,,6,20,,,0.45874887704849243,1.301766276359558,,
,,,,7,23,,,,,0.43220338225364685,1.2859196662902832
,,,,7,23,,,0.4524025321006775,1.2874914407730103,,
,,,,8,26,,,,,0.45338982343673706,1.2676256895065308
,,,,8,26,,,0.4569356441497803,1.2691328525543213,,
,,,,9,29,,,,,0.4788135588169098,1.2511835098266602
,,,,9,29,,,0.45330914855003357,1.2509119510650635,,
,,,,10,32,,,,,0.4618644118309021,1.2331295013427734
,,,,10,32,,,0.4632819592952728,1.2356445789337158,,
,,,,11,35,,,,,0.4830508530139923,1.2145768404006958
,,,,11,35,,,0.4632819592952728,1.2130035161972046,,
,,,,12,38,,,,,0.4661017060279846,1.1964960098266602
,,,,12,38,,,0.48685404658317566,1.2003040313720703,,
,,,,13,41,,,,,0.47033897042274475,1.1833237409591675
,,,,13,41,,,0.4759746193885803,1.1765944957733154,,
,,,,14,44,,,,,0.4788135588169098,1.17045259475708
,,,,14,44,,,0.4932003617286682,1.1599299907684326,,
,,,,15,47,,,,,0.48728814721107483,1.1507289409637451
,,,,15,47,,,0.5194922685623169,1.1400539875030518,,
,,,,16,50,,,,,0.4830508530139923,1.1325781345367432
,,,,16,50,,,0.5312783122062683,1.123770833015442,,
,,,,17,53,,,,,0.47457626461982727,1.1227540969848633
,,,,17,53,,,0.5158658027648926,1.1027672290802002,,
,,,,18,56,,,,,0.5127118825912476,1.10201096534729
,,,,18,56,,,0.5131459832191467,1.0913606882095337,,
,,,,19,59,,,,,0.5508474707603455,1.0890285968780518
,,,,19,59,,,0.5412511229515076,1.06787109375,,
,,,,20,62,,,,,0.508474588394165,1.0817066431045532
,,,,20,62,,,0.5902085304260254,1.0522847175598145,,
,,,,21,65,,,,,0.4830508530139923,1.0701842308044434
,,,,21,65,,,0.5893018841743469,1.0440431833267212,,
,,,,22,68,,,,,0.47457626461982727,1.055639386177063
,,,,22,68,,,0.5766092538833618,1.0217276811599731,,
,,,,23,71,,,,,0.5169491767883301,1.043997883796692
,,,,23,71,,,0.5929283499717712,1.0079702138900757,,
,,,,24,74,,,,,0.5932203531265259,1.0285894870758057
,,,,24,74,,,0.6029011607170105,0.997730553150177,,
,,,,25,77,,,,,0.5805084705352783,1.0025678873062134
,,,,25,77,,,0.6282864809036255,0.9808754920959473,,
,,,,26,80,,,,,0.5508474707603455,1.0072331428527832
,,,,26,80,,,0.6255666613578796,0.961046040058136,,
,,,,27,83,,,,,0.5381355881690979,0.9924302697181702
,,,,27,83,,,0.6001813411712646,0.9544601440429688,,
,,,,28,86,,,,,0.5847457647323608,0.9793516397476196
,,,,28,86,,,0.6246600151062012,0.9378588795661926,,
,,,,29,89,,,,,0.6016949415206909,0.9700914621353149
,,,,29,89,,,0.633726179599762,0.9231192469596863,,
,,,,30,92,,,,,0.6440678238868713,0.9444193840026855
,,,,30,92,,,0.6391659379005432,0.9042933583259583,,
,,,,31,95,,,,,0.6440678238868713,0.9370219111442566
,,,,31,95,,,0.6427924036979675,0.8973836898803711,,
,,,,32,98,,,,,0.5847457647323608,0.9391160607337952
,,,,32,98,,,0.6346328258514404,0.8942894339561462,,
,,,,33,101,,,,,0.6440678238868713,0.9182118773460388
,,,,33,101,,,0.6473254561424255,0.8687126636505127,,
,,,,34,104,,,,,0.6144067645072937,0.9081688523292542
,,,,34,104,,,0.6772438883781433,0.8634721636772156,,
,,,,35,107,,,,,0.6059321761131287,0.8964764475822449
,,,,35,107,,,0.6554850339889526,0.8545211553573608,,
,,,,36,110,,,,,0.6355932354927063,0.8861947059631348
,,,,36,110,,,0.6609247326850891,0.8521801829338074,,
,,,,37,113,,,,,0.6610169410705566,0.8823069334030151
,,,,37,113,,,0.6763372421264648,0.8311774730682373,,
,,,,38,116,,,,,0.6737288236618042,0.8709275126457214
,,,,38,116,,,0.6799637079238892,0.8276918530464172,,
,,,,39,119,,,,,0.6694915294647217,0.8590443730354309
,,,,39,119,,,0.7017225623130798,0.8246532678604126,,
,,,,40,122,,,,,0.6525423526763916,0.857374906539917
,,,,40,122,,,0.6727107763290405,0.822782039642334,,
,,,,41,125,,,,,0.6864407062530518,0.8505218625068665
,,,,41,125,,,0.6808703541755676,0.8115043044090271,,
,,,,42,128,,,,,0.6652542352676392,0.8450655937194824
,,,,42,128,,,0.6944696307182312,0.8005252480506897,,
,,,,43,131,,,,,0.6567796468734741,0.8393949270248413
,,,,43,131,,,0.7026292085647583,0.7905789017677307,,
,,,,44,134,,,,,0.6610169410705566,0.8404754996299744
,,,,44,134,,,0.6971895098686218,0.7781474590301514,,
,,,,45,137,,,,,0.6567796468734741,0.8382250070571899
,,,,45,137,,,0.6908431649208069,0.7752304077148438,,
,,,,46,140,,,,,0.6694915294647217,0.8198052048683167
,,,,46,140,,,0.6935629844665527,0.7823876142501831,,
,,,,47,143,,,,,0.6313559412956238,0.8269636034965515
,,,,47,143,,,0.7008159756660461,0.7629590034484863,,
,,,,48,146,,,,,0.6440678238868713,0.8141161203384399
,,,,48,146,,,0.6917497515678406,0.7626839280128479,,
,,,,49,149,,,,,0.6440678238868713,0.8561858534812927
,,,,49,149,,,0.6826835870742798,0.770695149898529,,
,,,,50,152,,,,,0.694915235042572,0.8287339806556702
,,,,50,152,,,0.6763372421264648,0.7553089261054993,,
,,,,51,155,,,,,0.6398305296897888,0.828493595123291
,,,,51,155,,,0.678150475025177,0.7636588215827942,,
,,,,52,158,,,,,0.6652542352676392,0.8165909647941589
,,,,52,158,,,0.6962828636169434,0.7528879642486572,,
,,,,53,161,,,,,0.6398305296897888,0.821478545665741
,,,,53,161,,,0.6799637079238892,0.7639011740684509,,
,,,,54,164,,,,,0.6652542352676392,0.8096425533294678
,,,,54,164,,,0.6935629844665527,0.7447477579116821,,
,,,,55,167,,,,,0.694915235042572,0.7882359027862549
,,,,55,167,,,0.6754306554794312,0.7436468005180359,,
,,,,56,170,,,,,0.7118644118309021,0.7917165160179138
,,,,56,170,,,0.7116953730583191,0.7313722968101501,,
,,,,57,173,,,,,0.6779661178588867,0.7868438959121704
,,,,57,173,,,0.7135086059570312,0.7274497747421265,,
,,,,58,176,,,,,0.6737288236618042,0.7812349796295166
,,,,58,176,,,0.7171350717544556,0.7143296003341675,,
