class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,2,,,,,0.25847458839416504,1.3861767053604126
,,,,0,2,,,0.2466001808643341,1.3874589204788208,,
,,,,1,5,,,,,0.3855932056903839,1.3805614709854126
,,,,1,5,,,0.4233907461166382,1.3665951490402222,,
,,,,2,8,,,,,0.4661017060279846,1.3661612272262573
,,,,2,8,,,0.502266526222229,1.3498387336730957,,
,,,,3,11,,,,,0.5127118825912476,1.3447927236557007
,,,,3,11,,,0.5140525698661804,1.3310405015945435,,
,,,,4,14,,,,,0.5127118825912476,1.3205628395080566
,,,,4,14,,,0.5249320268630981,1.310801386833191,,
,,,,5,17,,,,,0.5508474707603455,1.2925735712051392
,,,,5,17,,,0.5385313034057617,1.2893657684326172,,
,,,,6,20,,,,,0.5508474707603455,1.261586308479309
,,,,6,20,,,0.567543089389801,1.269392728805542,,
,,,,7,23,,,,,0.5508474707603455,1.2336136102676392
,,,,7,23,,,0.5702629089355469,1.243757724761963,,
,,,,8,26,,,,,0.5466101765632629,1.2046167850494385
,,,,8,26,,,0.5793290734291077,1.2133784294128418,,
,,,,9,29,,,,,0.555084764957428,1.1777706146240234
,,,,9,29,,,0.5856754183769226,1.1883333921432495,,
,,,,10,32,,,,,0.5466101765632629,1.1572948694229126
,,,,10,32,,,0.6001813411712646,1.1625301837921143,,
,,,,11,35,,,,,0.5508474707603455,1.1331011056900024
,,,,11,35,,,0.5874886512756348,1.1387659311294556,,
,,,,12,38,,,,,0.5593220591545105,1.1065363883972168
,,,,12,38,,,0.6110607385635376,1.1113704442977905,,
,,,,13,41,,,,,0.5381355881690979,1.0982097387313843
,,,,13,41,,,0.5992746949195862,1.086301565170288,,
,,,,14,44,,,,,0.5593220591545105,1.069792628288269
,,,,14,44,,,0.5902085304260254,1.0706044435501099,,
,,,,15,47,,,,,0.5677965879440308,1.0695133209228516
,,,,15,47,,,0.5983681082725525,1.0484580993652344,,
,,,,16,50,,,,,0.555084764957428,1.05466890335083
,,,,16,50,,,0.6110607385635376,1.0242606401443481,,
,,,,17,53,,,,,0.5466101765632629,1.0206133127212524
,,,,17,53,,,0.608340859413147,1.0144836902618408,,
,,,,18,56,,,,,0.555084764957428,1.0199925899505615
,,,,18,56,,,0.6282864809036255,0.9931864142417908,,
,,,,19,59,,,,,0.555084764957428,1.0134438276290894
,,,,19,59,,,0.633726179599762,0.9665956497192383,,
,,,,20,62,,,,,0.5932203531265259,0.9882543683052063
,,,,20,62,,,0.6237534284591675,0.9574119448661804,,
,,,,21,65,,,,,0.5762711763381958,0.9966347813606262
,,,,21,65,,,0.6473254561424255,0.9481668472290039,,
,,,,22,68,,,,,0.5847457647323608,0.9800459146499634
,,,,22,68,,,0.6418857574462891,0.9345390796661377,,
,,,,23,71,,,,,0.6313559412956238,0.9680662155151367
,,,,23,71,,,0.6654578447341919,0.9083306193351746,,
,,,,24,74,,,,,0.5974576473236084,0.9491044282913208
,,,,24,74,,,0.6328195929527283,0.9369559288024902,,
,,,,25,77,,,,,0.555084764957428,0.9692270159721375
,,,,25,77,,,0.6436989903450012,0.902378499507904,,
,,,,26,80,,,,,0.5847457647323608,0.9355378150939941
,,,,26,80,,,0.6346328258514404,0.8999606370925903,,
,,,,27,83,,,,,0.6186440587043762,0.9225389957427979
,,,,27,83,,,0.6391659379005432,0.8829519748687744,,
,,,,28,86,,,,,0.6483050584793091,0.9001697897911072
,,,,28,86,,,0.6627379655838013,0.8773981928825378,,
,,,,29,89,,,,,0.5932203531265259,0.9399962425231934
,,,,29,89,,,0.6681777238845825,0.8565672039985657,,
,,,,30,92,,,,,0.6186440587043762,0.9019246697425842
,,,,30,92,,,0.6645511984825134,0.8524313569068909,,
,,,,31,95,,,,,0.6610169410705566,0.8839967250823975
,,,,31,95,,,0.673617422580719,0.8351158499717712,,
,,,,32,98,,,,,0.6059321761131287,0.8936907052993774
,,,,32,98,,,0.678150475025177,0.8246971368789673,,
,,,,33,101,,,,,0.6313559412956238,0.8708788156509399
,,,,33,101,,,0.6754306554794312,0.8189076781272888,,
,,,,34,104,,,,,0.6398305296897888,0.8625419735908508
,,,,34,104,,,0.6690843105316162,0.8219335675239563,,
,,,,35,107,,,,,0.6355932354927063,0.8562115430831909
,,,,35,107,,,0.6754306554794312,0.8025708198547363,,
,,,,36,110,,,,,0.6355932354927063,0.8443965315818787
,,,,36,110,,,0.667271077632904,0.8089053630828857,,
