class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,2,,,,,0.2542372941970825,1.3850966691970825
,,,,0,2,,,0.32819584012031555,1.3791922330856323,,
,,,,1,5,,,,,0.31355932354927063,1.3759393692016602
,,,,1,5,,,0.39619219303131104,1.3629050254821777,,
,,,,2,8,,,,,0.347457617521286,1.3635129928588867
,,,,2,8,,,0.377153217792511,1.3509711027145386,,
,,,,3,11,,,,,0.4194915294647217,1.34814453125
,,,,3,11,,,0.38712602853775024,1.3378180265426636,,
,,,,4,14,,,,,0.43644067645072937,1.333872675895691
,,,,4,14,,,0.41523119807243347,1.3230819702148438,,
,,,,5,17,,,,,0.4406779706478119,1.3169918060302734
,,,,5,17,,,0.46600180864334106,1.306483507156372,,
,,,,6,20,,,,,0.45338982343673706,1.3013356924057007
,,,,6,20,,,0.465095192193985,1.2885308265686035,,
,,,,7,23,,,,,0.44915252923965454,1.2793858051300049
,,,,7,23,,,0.47960108518600464,1.2705450057983398,,
,,,,8,26,,,,,0.4449152648448944,1.2628401517868042
,,,,8,26,,,0.47053489089012146,1.2490301132202148,,
,,,,9,29,,,,,0.42796608805656433,1.2455517053604126
,,,,9,29,,,0.49229374527931213,1.2262756824493408,,
,,,,10,32,,,,,0.4661017060279846,1.2184923887252808
,,,,10,32,,,0.5031731724739075,1.2087931632995605,,
,,,,11,35,,,,,0.43644067645072937,1.2101497650146484
,,,,11,35,,,0.48685404658317566,1.194237470626831,,
,,,,12,38,,,,,0.41101694107055664,1.2175618410110474
,,,,12,38,,,0.5095195174217224,1.1736094951629639,,
,,,,13,41,,,,,0.47033897042274475,1.1700232028961182
,,,,13,41,,,0.5131459832191467,1.1582651138305664,,
,,,,14,44,,,,,0.47033897042274475,1.1480294466018677
,,,,14,44,,,0.5140525698661804,1.143379807472229,,
,,,,15,47,,,,,0.4618644118309021,1.156514286994934
,,,,15,47,,,0.5412511229515076,1.1200215816497803,,
,,,,16,50,,,,,0.47457626461982727,1.125619888305664
,,,,16,50,,,0.5349047780036926,1.109995722770691,,
,,,,17,53,,,,,0.5254237055778503,1.1133896112442017
,,,,17,53,,,0.5448775887489319,1.0881555080413818,,
,,,,18,56,,,,,0.5254237055778503,1.110864281654358
,,,,18,56,,,0.5430643558502197,1.0816775560379028,,
,,,,19,59,,,,,0.5296609997749329,1.0794366598129272
,,,,19,59,,,0.5621033310890198,1.0639296770095825,,
,,,,20,62,,,,,0.5127118825912476,1.0752063989639282
,,,,20,62,,,0.5693563222885132,1.0557864904403687,,
,,,,21,65,,,,,0.5381355881690979,1.0638375282287598
,,,,21,65,,,0.5802357196807861,1.036706805229187,,
,,,,22,68,,,,,0.5720338821411133,1.0492141246795654
,,,,22,68,,,0.5793290734291077,1.0182552337646484,,
,,,,23,71,,,,,0.5338982939720154,1.043965458869934
,,,,23,71,,,0.5838621854782104,1.0160396099090576,,
,,,,24,74,,,,,0.5805084705352783,1.0243964195251465
,,,,24,74,,,0.6019945740699768,1.0013511180877686,,
,,,,25,77,,,,,0.5593220591545105,1.019300937652588
,,,,25,77,,,0.6237534284591675,0.9820789098739624,,
,,,,26,80,,,,,0.555084764957428,1.0022886991500854
,,,,26,80,,,0.6019945740699768,0.9669826626777649,,
,,,,27,83,,,,,0.6016949415206909,0.9915632009506226
,,,,27,83,,,0.6119673848152161,0.953314483165741,,
,,,,28,86,,,,,0.5974576473236084,0.9876370429992676
,,,,28,86,,,0.6210335493087769,0.9390690922737122,,
,,,,29,89,,,,,0.6186440587043762,0.9685496687889099
,,,,29,89,,,0.633726179599762,0.9268040060997009,,
,,,,30,92,,,,,0.5847457647323608,0.9658384323120117
,,,,30,92,,,0.6618313789367676,0.903854250907898,,
,,,,31,95,,,,,0.5932203531265259,0.9564192295074463
,,,,31,95,,,0.6319129467010498,0.8931233882904053,,
,,,,32,98,,,,,0.6101694703102112,0.9343618750572205
,,,,32,98,,,0.6282864809036255,0.8975894451141357,,
,,,,33,101,,,,,0.6228813529014587,0.9323012232780457
,,,,33,101,,,0.654578447341919,0.8878793716430664,,
,,,,34,104,,,,,0.6440678238868713,0.9222719669342041
,,,,34,104,,,0.659111499786377,0.8727273941040039,,
,,,,35,105,,,,,0.6440678238868713,0.9200276732444763
,,,,35,104,,,0.63671875,0.88641756772995,,
0.8103448152542114,0.546875,0.7543859481811523,0.568965494632721,36,105,0.6666666865348816,0.8754343390464783,,,,
