class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,class_6_acc,class_7_acc,class_8_acc,class_9_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,,,,,,0,3,,,,,0.1727493852376938,2.2991702556610107
,,,,,,,,,,0,3,,,0.19302809238433838,2.3013224601745605,,
,,,,,,,,,,1,7,,,,,0.14841848611831665,2.292759656906128
,,,,,,,,,,1,7,,,0.20291362702846527,2.2964978218078613,,
,,,,,,,,,,2,11,,,,,0.21411192417144775,2.279543876647949
,,,,,,,,,,2,11,,,0.20759625732898712,2.287937641143799,,
,,,,,,,,,,3,15,,,,,0.2676399052143097,2.258791446685791
,,,,,,,,,,3,15,,,0.22060354053974152,2.2737810611724854,,
,,,,,,,,,,4,19,,,,,0.2822384536266327,2.2297892570495605
,,,,,,,,,,4,19,,,0.24245578050613403,2.2512590885162354,,
,,,,,,,,,,5,23,,,,,0.26520681381225586,2.1911733150482178
,,,,,,,,,,5,23,,,0.217481791973114,2.220402240753174,,
,,,,,,,,,,6,27,,,,,0.2554744482040405,2.143984794616699
,,,,,,,,,,6,27,,,0.21696150302886963,2.178570508956909,,
,,,,,,,,,,7,31,,,,,0.2554744482040405,2.089254379272461
,,,,,,,,,,7,31,,,0.21071800589561462,2.129014730453491,,
,,,,,,,,,,8,35,,,,,0.2554744482040405,2.023606300354004
,,,,,,,,,,8,35,,,0.21383975446224213,2.0700151920318604,,
,,,,,,,,,,9,39,,,,,0.23357664048671722,1.9582834243774414
,,,,,,,,,,9,39,,,0.21279916167259216,2.004469156265259,,
,,,,,,,,,,10,43,,,,,0.23357664048671722,1.8969619274139404
,,,,,,,,,,10,43,,,0.1951092630624771,1.9416179656982422,,
,,,,,,,,,,11,47,,,,,0.23357664048671722,1.8432059288024902
,,,,,,,,,,11,47,,,0.198751300573349,1.8821722269058228,,
,,,,,,,,,,12,51,,,,,0.23357664048671722,1.7980345487594604
,,,,,,,,,,12,51,,,0.198751300573349,1.8305355310440063,,
,,,,,,,,,,13,55,,,,,0.23357664048671722,1.7612862586975098
,,,,,,,,,,13,55,,,0.198751300573349,1.7865641117095947,,
,,,,,,,,,,14,59,,,,,0.21897810697555542,1.7281402349472046
,,,,,,,,,,14,59,,,0.19614984095096588,1.7496920824050903,,
,,,,,,,,,,15,63,,,,,0.21897810697555542,1.6871720552444458
,,,,,,,,,,15,63,,,0.2148803323507309,1.7126470804214478,,
,,,,,,,,,,16,67,,,,,0.21897810697555542,1.6598165035247803
,,,,,,,,,,16,67,,,0.20603537559509277,1.6750991344451904,,
,,,,,,,,,,17,71,,,,,0.21167883276939392,1.6471401453018188
,,,,,,,,,,17,71,,,0.21227887272834778,1.6537070274353027,,
,,,,,,,,,,18,75,,,,,0.21167883276939392,1.6409553289413452
,,,,,,,,,,18,75,,,0.20967741310596466,1.6401243209838867,,
,,,,,,,,,,19,79,,,,,0.18004865944385529,1.6379685401916504
,,,,,,,,,,19,79,,,0.21019771695137024,1.6309213638305664,,
,,,,,,,,,,20,83,,,,,0.1727493852376938,1.6369065046310425
,,,,,,,,,,20,83,,,0.2180020809173584,1.6247062683105469,,
,,,,,,,,,,21,87,,,,,0.17761556804180145,1.63594651222229
,,,,,,,,,,21,87,,,0.21540062129497528,1.6208490133285522,,
,,,,,,,,,,22,91,,,,,0.18248175084590912,1.634958028793335
,,,,,,,,,,22,91,,,0.21904265880584717,1.61762535572052,,
,,,,,,,,,,23,95,,,,,0.1727493852376938,1.6326390504837036
,,,,,,,,,,23,95,,,0.21904265880584717,1.615096092224121,,
,,,,,,,,,,24,99,,,,,0.1727493852376938,1.6294835805892944
,,,,,,,,,,24,99,,,0.21696150302886963,1.613652229309082,,
,,,,,,,,,,25,103,,,,,0.1727493852376938,1.6274141073226929
,,,,,,,,,,25,103,,,0.21696150302886963,1.6115995645523071,,
,,,,,,,,,,26,107,,,,,0.1727493852376938,1.6249810457229614
,,,,,,,,,,26,107,,,0.21696150302886963,1.6105986833572388,,
,,,,,,,,,,27,111,,,,,0.1727493852376938,1.623253583908081
,,,,,,,,,,27,111,,,0.21696150302886963,1.609779715538025,,
,,,,,,,,,,28,115,,,,,0.1727493852376938,1.6222389936447144
,,,,,,,,,,28,115,,,0.21696150302886963,1.6087267398834229,,
,,,,,,,,,,29,119,,,,,0.1727493852376938,1.6226904392242432
,,,,,,,,,,29,119,,,0.21696150302886963,1.6081072092056274,,
,,,,,,,,,,30,123,,,,,0.1727493852376938,1.6223602294921875
,,,,,,,,,,30,123,,,0.21696150302886963,1.6074459552764893,,
,,,,,,,,,,31,127,,,,,0.1727493852376938,1.6222271919250488
,,,,,,,,,,31,127,,,0.21696150302886963,1.6071155071258545,,
,,,,,,,,,,32,131,,,,,0.1727493852376938,1.6220227479934692
,,,,,,,,,,32,131,,,0.21696150302886963,1.606561303138733,,
,,,,,,,,,,33,135,,,,,0.1727493852376938,1.6213812828063965
,,,,,,,,,,33,135,,,0.21696150302886963,1.6065984964370728,,
,,,,,,,,,,34,139,,,,,0.1727493852376938,1.6208252906799316
,,,,,,,,,,34,139,,,0.21696150302886963,1.6058679819107056,,
,,,,,,,,,,35,143,,,,,0.1727493852376938,1.6211698055267334
,,,,,,,,,,35,143,,,0.21696150302886963,1.6058480739593506,,
,,,,,,,,,,36,147,,,,,0.18004865944385529,1.6208703517913818
,,,,,,,,,,36,147,,,0.2242455780506134,1.6051772832870483,,
,,,,,,,,,,37,151,,,,,0.18004865944385529,1.6205496788024902
,,,,,,,,,,37,151,,,0.21644121408462524,1.6049267053604126,,
,,,,,,,,,,38,155,,,,,0.18978102505207062,1.6195968389511108
,,,,,,,,,,38,155,,,0.22008325159549713,1.6048623323440552,,
,,,,,,,,,,39,159,,,,,0.18004865944385529,1.619546890258789
,,,,,,,,,,39,159,,,0.22060354053974152,1.604354739189148,,
,,,,,,,,,,40,163,,,,,0.18978102505207062,1.619245171546936
,,,,,,,,,,40,163,,,0.22372528910636902,1.6040757894515991,,
,,,,,,,,,,41,167,,,,,0.18978102505207062,1.6191905736923218
,,,,,,,,,,41,167,,,0.2247658669948578,1.6039308309555054,,
,,,,,,,,,,42,171,,,,,0.18978102505207062,1.61893630027771
,,,,,,,,,,42,171,,,0.22268469631671906,1.6035995483398438,,
,,,,,,,,,,43,175,,,,,0.18248175084590912,1.6183090209960938
,,,,,,,,,,43,175,,,0.22632674872875214,1.6033713817596436,,
,,,,,,,,,,44,179,,,,,0.18248175084590912,1.6176745891571045
,,,,,,,,,,44,179,,,0.22996878623962402,1.6032648086547852,,
,,,,,,,,,,45,183,,,,,0.18978102505207062,1.6188459396362305
,,,,,,,,,,45,183,,,0.22632674872875214,1.6030522584915161,,
,,,,,,,,,,46,187,,,,,0.18248175084590912,1.619240403175354
,,,,,,,,,,46,187,,,0.2242455780506134,1.6028450727462769,,
,,,,,,,,,,47,191,,,,,0.18978102505207062,1.6188673973083496
,,,,,,,,,,47,191,,,0.22944849729537964,1.6024597883224487,,
,,,,,,,,,,48,195,,,,,0.18978102505207062,1.6171518564224243
,,,,,,,,,,48,195,,,0.22320500016212463,1.6023260354995728,,
,,,,,,,,,,49,199,,,,,0.18978102505207062,1.6157737970352173
,,,,,,,,,,49,199,,,0.2247658669948578,1.6020855903625488,,
,,,,,,,,,,50,203,,,,,0.2311435490846634,1.6152106523513794
,,,,,,,,,,50,203,,,0.23881374299526215,1.6020877361297607,,
,,,,,,,,,,51,207,,,,,0.18248175084590912,1.6156026124954224
,,,,,,,,,,51,207,,,0.24245578050613403,1.601258397102356,,
,,,,,,,,,,52,211,,,,,0.18978102505207062,1.6161657571792603
,,,,,,,,,,52,211,,,0.2278876155614853,1.6011542081832886,,
,,,,,,,,,,53,215,,,,,0.18978102505207062,1.6160968542099
,,,,,,,,,,53,215,,,0.2273673266172409,1.6006245613098145,,
,,,,,,,,,,54,219,,,,,0.18978102505207062,1.6149944067001343
,,,,,,,,,,54,219,,,0.2273673266172409,1.600457787513733,,
,,,,,,,,,,55,223,,,,,0.18248175084590912,1.613853931427002
,,,,,,,,,,55,223,,,0.23204994201660156,1.599600076675415,,
,,,,,,,,,,56,227,,,,,0.18248175084590912,1.614065408706665
,,,,,,,,,,56,227,,,0.22892819344997406,1.5991240739822388,,
,,,,,,,,,,57,231,,,,,0.18248175084590912,1.61271333694458
,,,,,,,,,,57,231,,,0.22892819344997406,1.5983247756958008,,
,,,,,,,,,,58,235,,,,,0.18248175084590912,1.6113946437835693
,,,,,,,,,,58,235,,,0.22892819344997406,1.5975291728973389,,
,,,,,,,,,,59,239,,,,,0.18248175084590912,1.6101353168487549
,,,,,,,,,,59,239,,,0.22892819344997406,1.5966929197311401,,
,,,,,,,,,,60,243,,,,,0.2165450155735016,1.608486294746399
,,,,,,,,,,60,243,,,0.23985432088375092,1.5952346324920654,,
,,,,,,,,,,61,247,,,,,0.2530413568019867,1.6065735816955566
,,,,,,,,,,61,247,,,0.27055150270462036,1.5939979553222656,,
,,,,,,,,,,62,251,,,,,0.25790753960609436,1.603727102279663
,,,,,,,,,,62,251,,,0.27731528878211975,1.5930927991867065,,
,,,,,,,,,,63,255,,,,,0.22141119837760925,1.6044446229934692
,,,,,,,,,,63,255,,,0.27055150270462036,1.5916731357574463,,
,,,,,,,,,,64,259,,,,,0.22627736628055573,1.6014792919158936
,,,,,,,,,,64,259,,,0.2502601444721222,1.5897173881530762,,
,,,,,,,,,,65,263,,,,,0.2822384536266327,1.596002459526062
,,,,,,,,,,65,263,,,0.2814776301383972,1.5867899656295776,,
,,,,,,,,,,66,267,,,,,0.2846715450286865,1.5921794176101685
,,,,,,,,,,66,267,,,0.2851196527481079,1.5848945379257202,,
,,,,,,,,,,67,271,,,,,0.2846715450286865,1.5899221897125244
,,,,,,,,,,67,271,,,0.28668054938316345,1.5804734230041504,,
,,,,,,,,,,68,275,,,,,0.27250608801841736,1.5837491750717163
,,,,,,,,,,68,275,,,0.2976066470146179,1.576718807220459,,
,,,,,,,,,,69,279,,,,,0.3114355206489563,1.577250599861145
,,,,,,,,,,69,279,,,0.2939646244049072,1.573244571685791,,
,,,,,,,,,,70,283,,,,,0.2895376980304718,1.5705476999282837
,,,,,,,,,,70,283,,,0.28668054938316345,1.5658864974975586,,
,,,,,,,,,,71,287,,,,,0.31630170345306396,1.5614854097366333
,,,,,,,,,,71,287,,,0.29032257199287415,1.5585278272628784,,
,,,,,,,,,,72,291,,,,,0.33576643466949463,1.5504176616668701
,,,,,,,,,,72,291,,,0.29708635807037354,1.551527738571167,,
,,,,,,,,,,73,295,,,,,0.31630170345306396,1.5389983654022217
,,,,,,,,,,73,295,,,0.31217482686042786,1.5414810180664062,,
,,,,,,,,,,74,299,,,,,0.31386861205101013,1.5266166925430298
,,,,,,,,,,74,299,,,0.3017689883708954,1.533242106437683,,
,,,,,,,,,,75,303,,,,,0.3260340690612793,1.5151212215423584
,,,,,,,,,,75,303,,,0.301248699426651,1.5252773761749268,,
,,,,,,,,,,76,307,,,,,0.31386861205101013,1.5045263767242432
,,,,,,,,,,76,307,,,0.30593132972717285,1.5113712549209595,,
,,,,,,,,,,77,311,,,,,0.30900242924690247,1.4901678562164307
,,,,,,,,,,77,311,,,0.30280956625938416,1.5046511888504028,,
,,,,,,,,,,78,315,,,,,0.32116788625717163,1.48055899143219
,,,,,,,,,,78,315,,,0.30541104078292847,1.4951512813568115,,
,,,,,,,,,,79,319,,,,,0.3479318618774414,1.4714373350143433
,,,,,,,,,,79,319,,,0.3111342489719391,1.4873167276382446,,
,,,,,,,,,,80,323,,,,,0.32116788625717163,1.4534814357757568
,,,,,,,,,,80,323,,,0.319979190826416,1.4689579010009766,,
,,,,,,,,,,81,327,,,,,0.36496350169181824,1.4487577676773071
,,,,,,,,,,81,327,,,0.307492196559906,1.4652057886123657,,
,,,,,,,,,,82,331,,,,,0.3333333432674408,1.4397715330123901
,,,,,,,,,,82,331,,,0.31893861293792725,1.4558122158050537,,
,,,,,,,,,,83,335,,,,,0.36739659309387207,1.434563159942627
,,,,,,,,,,83,335,,,0.33454734086990356,1.4543291330337524,,
,,,,,,,,,,84,339,,,,,0.3479318618774414,1.428917646408081
,,,,,,,,,,84,339,,,0.33194589614868164,1.449587345123291,,
,,,,,,,,,,85,343,,,,,0.3260340690612793,1.438090443611145
,,,,,,,,,,85,343,,,0.3272632658481598,1.442264199256897,,
,,,,,,,,,,86,347,,,,,0.36009731888771057,1.4196747541427612
,,,,,,,,,,86,347,,,0.3402705490589142,1.4345862865447998,,
,,,,,,,,,,87,351,,,,,0.3771289587020874,1.400953769683838
,,,,,,,,,,87,351,,,0.33194589614868164,1.4325188398361206,,
,,,,,,,,,,88,355,,,,,0.3698296844959259,1.4119715690612793
,,,,,,,,,,88,355,,,0.332466185092926,1.4294679164886475,,
,,,,,,,,,,89,359,,,,,0.33576643466949463,1.4032537937164307
,,,,,,,,,,89,359,,,0.34495317935943604,1.4372408390045166,,
