class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,2,,,,,0.24152542650699615,1.3861393928527832
,,,,0,2,,,0.1713508665561676,1.3864009380340576,,
,,,,1,5,,,,,0.24152542650699615,1.3859821557998657
,,,,1,5,,,0.3055303692817688,1.3858935832977295,,
,,,,2,8,,,,,0.25847458839416504,1.3858662843704224
,,,,2,8,,,0.30825021862983704,1.3853437900543213,,
,,,,3,11,,,,,0.2669491469860077,1.3855022192001343
,,,,3,11,,,0.3182230293750763,1.3847434520721436,,
,,,,4,14,,,,,0.25,1.3855146169662476
,,,,4,14,,,0.3417951166629791,1.3837854862213135,,
,,,,5,17,,,,,0.2669491469860077,1.3852331638336182
,,,,5,17,,,0.36536717414855957,1.3829045295715332,,
,,,,6,20,,,,,0.3262711763381958,1.3849766254425049
,,,,6,20,,,0.3762466013431549,1.381230354309082,,
,,,,7,23,,,,,0.38983049988746643,1.3844842910766602
,,,,7,23,,,0.38349953293800354,1.3800634145736694,,
,,,,8,26,,,,,0.3855932056903839,1.3826552629470825
,,,,8,26,,,0.37533998489379883,1.3776808977127075,,
,,,,9,29,,,,,0.39830508828163147,1.3786373138427734
,,,,9,29,,,0.39165911078453064,1.3746564388275146,,
,,,,10,32,,,,,0.39830508828163147,1.3751779794692993
,,,,10,32,,,0.4687216579914093,1.3708927631378174,,
,,,,11,35,,,,,0.43644067645072937,1.3688633441925049
,,,,11,35,,,0.4696282744407654,1.3672751188278198,,
,,,,12,38,,,,,0.48728814721107483,1.3620729446411133
,,,,12,38,,,0.47416138648986816,1.3636982440948486,,
,,,,13,41,,,,,0.47033897042274475,1.3564784526824951
,,,,13,41,,,0.47506800293922424,1.3581256866455078,,
,,,,14,44,,,,,0.45338982343673706,1.3506810665130615
,,,,14,44,,,0.47506800293922424,1.3516758680343628,,
,,,,15,47,,,,,0.4576271176338196,1.3443169593811035
,,,,15,47,,,0.45421576499938965,1.3456544876098633,,
,,,,16,50,,,,,0.4661017060279846,1.3351926803588867
,,,,16,50,,,0.46237534284591675,1.335858702659607,,
,,,,17,53,,,,,0.4661017060279846,1.3305250406265259
,,,,17,53,,,0.4696282744407654,1.3305155038833618,,
,,,,18,56,,,,,0.4661017060279846,1.3227497339248657
,,,,18,56,,,0.4678150415420532,1.3230297565460205,,
,,,,19,59,,,,,0.44915252923965454,1.3142213821411133
,,,,19,59,,,0.4777878522872925,1.3109160661697388,,
,,,,20,62,,,,,0.4618644118309021,1.306814432144165
,,,,20,62,,,0.446962833404541,1.3065192699432373,,
,,,,21,65,,,,,0.4661017060279846,1.2991094589233398
,,,,21,65,,,0.45874887704849243,1.2944765090942383,,
,,,,22,68,,,,,0.45338982343673706,1.2929315567016602
,,,,22,68,,,0.4632819592952728,1.2859052419662476,,
,,,,23,71,,,,,0.4449152648448944,1.2842355966567993
,,,,23,71,,,0.4297370910644531,1.2824451923370361,,
,,,,24,74,,,,,0.4406779706478119,1.2774099111557007
,,,,24,74,,,0.4442429840564728,1.2682324647903442,,
,,,,25,77,,,,,0.4237288236618042,1.274351954460144
