class_0_acc,class_1_acc,class_2_acc,class_3_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,0,2,,,,,0.3305084705352783,1.3783020973205566
,,,,0,2,,,0.2837715446949005,1.3862539529800415,,
,,,,1,5,,,,,0.347457617521286,1.3660826683044434
,,,,1,5,,,0.40435177087783813,1.3536320924758911,,
,,,,2,8,,,,,0.33474576473236084,1.3499383926391602
,,,,2,8,,,0.4179510474205017,1.328498125076294,,
,,,,3,11,,,,,0.4237288236618042,1.329171895980835
,,,,3,11,,,0.4315503239631653,1.303826093673706,,
,,,,4,14,,,,,0.41101694107055664,1.2990764379501343
,,,,4,14,,,0.43245694041252136,1.2740415334701538,,
,,,,5,17,,,,,0.41525423526763916,1.268422245979309
,,,,5,17,,,0.4388032555580139,1.235945224761963,,
,,,,6,20,,,,,0.4661017060279846,1.2324053049087524
,,,,6,20,,,0.4759746193885803,1.1983214616775513,,
,,,,7,23,,,,,0.48728814721107483,1.19248628616333
,,,,7,23,,,0.5294650793075562,1.1614896059036255,,
,,,,8,26,,,,,0.49152541160583496,1.1550540924072266
,,,,8,26,,,0.521305501461029,1.119860291481018,,
,,,,9,29,,,,,0.5,1.1101374626159668
,,,,9,29,,,0.5503172874450684,1.0841028690338135,,
,,,,10,32,,,,,0.5,1.0740816593170166
,,,,10,32,,,0.5475974678993225,1.049605131149292,,
,,,,11,35,,,,,0.5254237055778503,1.0534906387329102
,,,,11,35,,,0.5630099773406982,1.0173008441925049,,
,,,,12,38,,,,,0.5423728823661804,1.0149199962615967
,,,,12,38,,,0.5539438128471375,0.9874643683433533,,
,,,,13,41,,,,,0.5381355881690979,0.9883345365524292
,,,,13,41,,,0.5684496760368347,0.9609726667404175,,
,,,,14,44,,,,,0.5466101765632629,0.9752220511436462
,,,,14,44,,,0.6056210398674011,0.9346144795417786,,
,,,,15,47,,,,,0.5677965879440308,0.9676852226257324
,,,,15,47,,,0.6282864809036255,0.923564076423645,,
,,,,16,50,,,,,0.6186440587043762,0.9469864368438721
,,,,16,50,,,0.5911151170730591,0.9190698862075806,,
,,,,17,53,,,,,0.6525423526763916,0.9349298477172852
,,,,17,53,,,0.6174070835113525,0.8889912962913513,,
,,,,18,56,,,,,0.5635592937469482,0.9413618445396423
,,,,18,56,,,0.6418857574462891,0.8730279803276062,,
,,,,19,59,,,,,0.5974576473236084,0.9179368615150452
,,,,19,59,,,0.6636446118354797,0.8654616475105286,,
,,,,20,62,,,,,0.6313559412956238,0.9172769784927368
,,,,20,62,,,0.6446056365966797,0.8521773219108582,,
,,,,21,65,,,,,0.6398305296897888,0.9013603925704956
,,,,21,65,,,0.6273798942565918,0.8413858413696289,,
,,,,22,68,,,,,0.6355932354927063,0.8960014581680298
,,,,22,68,,,0.667271077632904,0.8422839641571045,,
,,,,23,71,,,,,0.5805084705352783,0.9084132313728333
,,,,23,71,,,0.673617422580719,0.827348530292511,,
,,,,24,74,,,,,0.5932203531265259,0.8917643427848816
,,,,24,74,,,0.6518585681915283,0.8348950743675232,,
,,,,25,77,,,,,0.6355932354927063,0.8693366050720215
,,,,25,77,,,0.6572982668876648,0.8148468136787415,,
,,,,26,80,,,,,0.5932203531265259,0.8794817924499512
,,,,26,80,,,0.6772438883781433,0.8113744258880615,,
,,,,27,83,,,,,0.6228813529014587,0.8855142593383789
,,,,27,83,,,0.6772438883781433,0.8017253875732422,,
,,,,28,86,,,,,0.6525423526763916,0.8730409741401672
,,,,28,86,,,0.6418857574462891,0.8023667335510254,,
,,,,29,89,,,,,0.6313559412956238,0.8529443144798279
,,,,29,89,,,0.6962828636169434,0.787450909614563,,
,,,,30,92,,,,,0.6440678238868713,0.861912190914154
,,,,30,92,,,0.6500453352928162,0.8010559678077698,,
,,,,31,95,,,,,0.555084764957428,0.8693291544914246
,,,,31,95,,,0.6799637079238892,0.7681810855865479,,
,,,,32,96,,,,,0.5593220591545105,0.8671243190765381
,,,,32,95,,,0.625,0.8725872039794922,,
0.8103448152542114,0.578125,0.6140350699424744,0.4655172526836395,33,96,0.6160337328910828,0.917637050151825,,,,
