class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,class_6_acc,class_7_acc,class_8_acc,class_9_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,,,,,,0,3,,,,,0.4282238483428955,2.001810312271118
,,,,,,,,,,0,3,,,0.5645161271095276,1.1649913787841797,,
,,,,,,,,,,1,7,,,,,0.5133820176124573,1.1938718557357788
,,,,,,,,,,1,7,,,0.4479708671569824,1.4621728658676147,,
,,,,,,,,,,2,11,,,,,0.5085158348083496,1.0952327251434326
,,,,,,,,,,2,11,,,0.54994797706604,1.064488410949707,,
,,,,,,,,,,3,15,,,,,0.5498783588409424,1.4033342599868774
,,,,,,,,,,3,15,,,0.5744016766548157,0.966141939163208,,
,,,,,,,,,,4,19,,,,,0.5839415788650513,0.9632611870765686
,,,,,,,,,,4,19,,,0.5941727161407471,0.9440649151802063,,
,,,,,,,,,,5,23,,,,,0.5912408828735352,0.9099244475364685
,,,,,,,,,,5,23,,,0.6186264157295227,0.9114106297492981,,
,,,,,,,,,,6,27,,,,,0.5766423344612122,0.9151018857955933
,,,,,,,,,,6,27,,,0.6014568209648132,0.8914597034454346,,
,,,,,,,,,,7,31,,,,,0.669099748134613,0.8255458474159241
,,,,,,,,,,7,31,,,0.6259105205535889,0.8558332920074463,,
,,,,,,,,,,8,35,,,,,0.6326034069061279,0.8246021270751953
,,,,,,,,,,8,35,,,0.6363163590431213,0.8517689108848572,,
,,,,,,,,,,9,39,,,,,0.6155717968940735,0.8672387599945068
,,,,,,,,,,9,39,,,0.648283064365387,0.8404892683029175,,
,,,,,,,,,,10,43,,,,,0.6569343209266663,0.8237654566764832
,,,,,,,,,,10,43,,,0.639958381652832,0.855681836605072,,
,,,,,,,,,,11,47,,,,,0.5790753960609436,0.8980870246887207
,,,,,,,,,,11,47,,,0.6326742768287659,0.8635744452476501,,
,,,,,,,,,,12,51,,,,,0.6253041625022888,0.8441022634506226
,,,,,,,,,,12,51,,,0.6316336989402771,0.8538199067115784,,
,,,,,,,,,,13,55,,,,,0.6958637237548828,0.7944532036781311
,,,,,,,,,,13,55,,,0.664932370185852,0.8260217905044556,,
,,,,,,,,,,14,59,,,,,0.6204379796981812,0.8526794910430908
,,,,,,,,,,14,59,,,0.6331945657730103,0.8520753979682922,,
,,,,,,,,,,15,63,,,,,0.5936739444732666,0.8966197967529297
,,,,,,,,,,15,63,,,0.642559826374054,0.8430632948875427,,
,,,,,,,,,,16,67,,,,,0.6277372241020203,0.8698265552520752
,,,,,,,,,,16,67,,,0.6441206932067871,0.837775468826294,,
,,,,,,,,,,17,71,,,,,0.5863747000694275,0.8862391114234924
,,,,,,,,,,17,71,,,0.627471387386322,0.8409373164176941,,
,,,,,,,,,,18,75,,,,,0.6812652349472046,0.7741738557815552
,,,,,,,,,,18,75,,,0.6305931210517883,0.8517645597457886,,
,,,,,,,,,,19,79,,,,,0.5815085172653198,0.9937224984169006
,,,,,,,,,,19,79,,,0.6493236422538757,0.8233845233917236,,
,,,,,,,,,,20,83,,,,,0.55474454164505,1.0407617092132568
,,,,,,,,,,20,83,,,0.6680541038513184,0.8075002431869507,,
,,,,,,,,,,21,87,,,,,0.6666666865348816,0.7895795702934265
,,,,,,,,,,21,87,,,0.627471387386322,0.8332892060279846,,
,,,,,,,,,,22,91,,,,,0.5863747000694275,0.8563531637191772
