class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,class_6_acc,class_7_acc,class_8_acc,class_9_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,,,,,,0,3,,,,,0.5936739444732666,5.796747207641602
,,,,,,,,,,0,3,,,0.8303850293159485,0.48872673511505127,,
,,,,,,,,,,1,7,,,,,0.6715328693389893,1.3601304292678833
,,,,,,,,,,1,7,,,0.7466180920600891,0.8644948601722717,,
,,,,,,,,,,2,11,,,,,0.6350364685058594,3.194812536239624
,,,,,,,,,,2,11,,,0.7606659531593323,0.6387009024620056,,
,,,,,,,,,,3,15,,,,,0.6885644793510437,1.9656625986099243
,,,,,,,,,,3,15,,,0.7731529474258423,0.6002642512321472,,
,,,,,,,,,,4,19,,,,,0.7104622721672058,0.8195865154266357
,,,,,,,,,,4,19,,,0.7783558964729309,0.5603801012039185,,
,,,,,,,,,,5,23,,,,,0.7201946377754211,0.6751720905303955
,,,,,,,,,,5,23,,,0.7752341032028198,0.5374839901924133,,
,,,,,,,,,,6,27,,,,,0.6301703453063965,2.2755894660949707
,,,,,,,,,,6,27,,,0.7804370522499084,0.5286232829093933,,
,,,,,,,,,,7,31,,,,,0.7372262477874756,0.848314642906189
,,,,,,,,,,7,31,,,0.7861602306365967,0.5165838003158569,,
,,,,,,,,,,8,35,,,,,0.7153284549713135,1.159457802772522
,,,,,,,,,,8,35,,,0.7783558964729309,0.581296980381012,,
,,,,,,,,,,9,39,,,,,0.727493941783905,0.6930753588676453
,,,,,,,,,,9,39,,,0.7762747406959534,0.5232077240943909,,
,,,,,,,,,,10,43,,,,,0.6301703453063965,3.2363452911376953
,,,,,,,,,,10,43,,,0.7788761854171753,0.5500839352607727,,
,,,,,,,,,,11,47,,,,,0.7542579174041748,0.7744558453559875
,,,,,,,,,,11,47,,,0.7752341032028198,0.5293753147125244,,
,,,,,,,,,,12,51,,,,,0.712895393371582,2.6219286918640137
,,,,,,,,,,12,51,,,0.8064516186714172,0.487117201089859,,
,,,,,,,,,,13,55,,,,,0.6934306621551514,1.1593937873840332
,,,,,,,,,,13,55,,,0.807492196559906,0.4762115180492401,,
,,,,,,,,,,14,59,,,,,0.7007299065589905,0.8585981726646423
,,,,,,,,,,14,59,,,0.7955254912376404,0.4975687265396118,,
,,,,,,,,,,15,63,,,,,0.7226277589797974,0.7724294662475586
,,,,,,,,,,15,63,,,0.7809573411941528,0.5143982768058777,,
,,,,,,,,,,16,67,,,,,0.7761557102203369,0.5087422728538513
,,,,,,,,,,16,67,,,0.7918834686279297,0.4980027973651886,,
,,,,,,,,,,17,71,,,,,0.7883211970329285,0.6359815001487732
,,,,,,,,,,17,71,,,0.8033298850059509,0.48452189564704895,,
,,,,,,,,,,18,75,,,,,0.7055960893630981,0.9731850624084473
,,,,,,,,,,18,75,,,0.807492196559906,0.48902374505996704,,
,,,,,,,,,,19,79,,,,,0.7153284549713135,1.2393906116485596
,,,,,,,,,,19,79,,,0.7913631796836853,0.5380892753601074,,
,,,,,,,,,,20,83,,,,,0.8029196858406067,0.7829424142837524
,,,,,,,,,,20,83,,,0.7762747406959534,0.5540275573730469,,
,,,,,,,,,,21,87,,,,,0.7396593689918518,0.7361635565757751
,,,,,,,,,,21,87,,,0.7965660691261292,0.4982321858406067,,
,,,,,,,,,,22,91,,,,,0.7445255517959595,1.3139032125473022
,,,,,,,,,,22,91,,,0.8111342191696167,0.4713195562362671,,
,,,,,,,,,,23,95,,,,,0.7031630277633667,1.243359923362732
,,,,,,,,,,23,95,,,0.807492196559906,0.4917983114719391,,
,,,,,,,,,,24,99,,,,,0.6423357725143433,1.7411539554595947
,,,,,,,,,,24,99,,,0.8189386129379272,0.46766260266304016,,
,,,,,,,,,,25,103,,,,,0.7347931861877441,1.6609419584274292
,,,,,,,,,,25,103,,,0.7960457801818848,0.4995952248573303,,
,,,,,,,,,,26,107,,,,,0.7299270033836365,0.9843510985374451
,,,,,,,,,,26,107,,,0.8121747970581055,0.46089309453964233,,
,,,,,,,,,,27,111,,,,,0.7299270033836365,0.8811887502670288
,,,,,,,,,,27,111,,,0.8163371682167053,0.47004005312919617,,
,,,,,,,,,,28,115,,,,,0.8053528070449829,0.4899901747703552
,,,,,,,,,,28,115,,,0.8152965903282166,0.4840993583202362,,
,,,,,,,,,,29,119,,,,,0.7591241002082825,0.7096185088157654
,,,,,,,,,,29,119,,,0.807492196559906,0.4714646339416504,,
,,,,,,,,,,30,123,,,,,0.7372262477874756,0.7623648643493652
,,,,,,,,,,30,123,,,0.8085327744483948,0.4776619076728821,,
,,,,,,,,,,31,127,,,,,0.8004866242408752,0.6349436640739441
,,,,,,,,,,31,127,,,0.8111342191696167,0.47198763489723206,,
,,,,,,,,,,32,131,,,,,0.7299270033836365,0.5990816950798035
,,,,,,,,,,32,131,,,0.8080124855041504,0.49263325333595276,,
,,,,,,,,,,33,135,,,,,0.7080292105674744,1.47395920753479
,,,,,,,,,,33,135,,,0.7814776301383972,0.5207089781761169,,
,,,,,,,,,,34,139,,,,,0.6885644793510437,0.7434645891189575
,,,,,,,,,,34,139,,,0.7929240465164185,0.5126634240150452,,
,,,,,,,,,,35,143,,,,,0.7664233446121216,0.7792981863021851
,,,,,,,,,,35,143,,,0.7976066470146179,0.48778656125068665,,
,,,,,,,,,,36,147,,,,,0.7055960893630981,0.9994493722915649
,,,,,,,,,,36,147,,,0.8121747970581055,0.4726204574108124,,
,,,,,,,,,,37,151,,,,,0.7153284549713135,0.6522042751312256
,,,,,,,,,,37,151,,,0.8054110407829285,0.48215237259864807,,
,,,,,,,,,,38,155,,,,,0.7396593689918518,2.381599187850952
,,,,,,,,,,38,155,,,0.7892820239067078,0.520163893699646,,
,,,,,,,,,,39,159,,,,,0.712895393371582,1.257124423980713
,,,,,,,,,,39,159,,,0.7898023128509521,0.5072062611579895,,
,,,,,,,,,,40,163,,,,,0.6909975409507751,1.1131858825683594
,,,,,,,,,,40,163,,,0.7913631796836853,0.49852100014686584,,
,,,,,,,,,,41,167,,,,,0.6788321137428284,1.654312014579773
,,,,,,,,,,41,167,,,0.8012486696243286,0.5013006329536438,,
,,,,,,,,,,42,171,,,,,0.7420924305915833,0.7794424891471863
,,,,,,,,,,42,171,,,0.8028095960617065,0.4827443063259125,,
,,,,,,,,,,43,175,,,,,0.7664233446121216,0.5053654313087463
,,,,,,,,,,43,175,,,0.8069719076156616,0.4878239035606384,,
,,,,,,,,,,44,179,,,,,0.7591241002082825,0.7588226795196533
,,,,,,,,,,44,179,,,0.8022893071174622,0.4932841658592224,,
,,,,,,,,,,45,183,,,,,0.6934306621551514,2.183039903640747
,,,,,,,,,,45,183,,,0.8100936412811279,0.4797663390636444,,
,,,,,,,,,,46,187,,,,,0.7226277589797974,0.6327021718025208
,,,,,,,,,,46,187,,,0.8069719076156616,0.488565593957901,,
,,,,,,,,,,47,191,,,,,0.7250608205795288,0.7434258460998535
,,,,,,,,,,47,191,,,0.7804370522499084,0.5354699492454529,,
,,,,,,,,,,48,195,,,,,0.6763990521430969,1.1438560485839844
,,,,,,,,,,48,195,,,0.782518208026886,0.5094361305236816,,
,,,,,,,,,,49,199,,,,,0.7420924305915833,1.0086921453475952
,,,,,,,,,,49,199,,,0.7887617349624634,0.5159664154052734,,
,,,,,,,,,,50,203,,,,,0.7785888314247131,0.58304762840271
,,,,,,,,,,50,203,,,0.8116545081138611,0.4749175012111664,,
,,,,,,,,,,51,207,,,,,0.7664233446121216,0.5989062786102295
,,,,,,,,,,51,207,,,0.7970863580703735,0.5005249977111816,,
