class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,class_6_acc,class_7_acc,class_8_acc,class_9_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,,,,,,0,3,,,,,0.6618005037307739,1.8612713813781738
,,,,,,,,,,0,3,,,0.8142560124397278,0.5086857676506042,,
,,,,,,,,,,1,7,,,,,0.6447688341140747,1.9583615064620972
,,,,,,,,,,1,7,,,0.7481789588928223,0.8897600173950195,,
,,,,,,,,,,2,11,,,,,0.6715328693389893,1.196118712425232
,,,,,,,,,,2,11,,,0.774193525314331,0.5905997157096863,,
,,,,,,,,,,3,15,,,,,0.6204379796981812,1.3204792737960815
,,,,,,,,,,3,15,,,0.7872008085250854,0.555726170539856,,
,,,,,,,,,,4,19,,,,,0.6520681381225586,3.7612497806549072
,,,,,,,,,,4,19,,,0.8017690181732178,0.5060310959815979,,
,,,,,,,,,,5,23,,,,,0.6496350169181824,2.2076478004455566
,,,,,,,,,,5,23,,,0.8262226581573486,0.45210757851600647,,
,,,,,,,,,,6,27,,,,,0.6253041625022888,2.234192371368408
,,,,,,,,,,6,27,,,0.7934443354606628,0.49687066674232483,,
,,,,,,,,,,7,31,,,,,0.6958637237548828,2.3705036640167236
,,,,,,,,,,7,31,,,0.8002080917358398,0.478637158870697,,
,,,,,,,,,,8,35,,,,,0.6593673825263977,1.21737539768219
,,,,,,,,,,8,35,,,0.8059313297271729,0.45973968505859375,,
,,,,,,,,,,9,39,,,,,0.6301703453063965,2.386638879776001
,,,,,,,,,,9,39,,,0.8147763013839722,0.46566030383110046,,
,,,,,,,,,,10,43,,,,,0.6739659309387207,3.7464444637298584
,,,,,,,,,,10,43,,,0.8303850293159485,0.45287075638771057,,
,,,,,,,,,,11,47,,,,,0.698296844959259,1.323315143585205
,,,,,,,,,,11,47,,,0.828303873538971,0.4476065933704376,,
,,,,,,,,,,12,51,,,,,0.7493917346000671,0.69483882188797
,,,,,,,,,,12,51,,,0.8126950860023499,0.4575076103210449,,
,,,,,,,,,,13,55,,,,,0.7007299065589905,1.1684457063674927
,,,,,,,,,,13,55,,,0.8106139302253723,0.4746456742286682,,
,,,,,,,,,,14,59,,,,,0.7080292105674744,1.9297561645507812
,,,,,,,,,,14,59,,,0.8178980350494385,0.45446693897247314,,
,,,,,,,,,,15,63,,,,,0.8077858686447144,0.5231489539146423
,,,,,,,,,,15,63,,,0.7981269359588623,0.4764154553413391,,
,,,,,,,,,,16,67,,,,,0.6788321137428284,1.5334322452545166
,,,,,,,,,,16,67,,,0.8163371682167053,0.45657652616500854,,
,,,,,,,,,,17,71,,,,,0.6861313581466675,2.1900157928466797
,,,,,,,,,,17,71,,,0.8314256072044373,0.44432884454727173,,
,,,,,,,,,,18,75,,,,,0.7737226486206055,0.6808480024337769
,,,,,,,,,,18,75,,,0.8132153749465942,0.4735325574874878,,
,,,,,,,,,,19,79,,,,,0.6788321137428284,1.2721244096755981
,,,,,,,,,,19,79,,,0.8090530633926392,0.4887242913246155,,
,,,,,,,,,,20,83,,,,,0.7153284549713135,2.2273707389831543
,,,,,,,,,,20,83,,,0.8142560124397278,0.4616581201553345,,
,,,,,,,,,,21,87,,,,,0.7469586133956909,1.9046387672424316
,,,,,,,,,,21,87,,,0.8220603466033936,0.4533677101135254,,
,,,,,,,,,,22,91,,,,,0.7299270033836365,0.685272753238678
,,,,,,,,,,22,91,,,0.8210197687149048,0.4576008915901184,,
,,,,,,,,,,23,95,,,,,0.6618005037307739,1.3717302083969116
,,,,,,,,,,23,95,,,0.8121747970581055,0.4595249593257904,,
,,,,,,,,,,24,99,,,,,0.7664233446121216,0.5788719654083252
,,,,,,,,,,24,99,,,0.8173777461051941,0.44679710268974304,,
,,,,,,,,,,25,103,,,,,0.727493941783905,0.9551624655723572
,,,,,,,,,,25,103,,,0.7991675138473511,0.49211353063583374,,
,,,,,,,,,,26,107,,,,,0.6715328693389893,1.447536826133728
,,,,,,,,,,26,107,,,0.8137356638908386,0.4514307677745819,,
,,,,,,,,,,27,111,,,,,0.683698296546936,0.9249131679534912
,,,,,,,,,,27,111,,,0.8173777461051941,0.48872724175453186,,
,,,,,,,,,,28,115,,,,,0.7372262477874756,0.8239591121673584
,,,,,,,,,,28,115,,,0.8189386129379272,0.46064749360084534,,
,,,,,,,,,,29,119,,,,,0.727493941783905,0.961077094078064
,,,,,,,,,,29,119,,,0.8246617913246155,0.4506874680519104,,
,,,,,,,,,,30,123,,,,,0.6593673825263977,1.3012441396713257
,,,,,,,,,,30,123,,,0.8309053182601929,0.4354794919490814,,
,,,,,,,,,,31,127,,,,,0.7518247961997986,0.6606324911117554
,,,,,,,,,,31,127,,,0.8111342191696167,0.46847254037857056,,
,,,,,,,,,,32,131,,,,,0.7104622721672058,0.8076416254043579
,,,,,,,,,,32,131,,,0.8231009244918823,0.45712390542030334,,
,,,,,,,,,,33,135,,,,,0.7153284549713135,0.7257755994796753
,,,,,,,,,,33,135,,,0.8194589018821716,0.4499802887439728,,
,,,,,,,,,,34,139,,,,,0.7031630277633667,1.0028742551803589
,,,,,,,,,,34,139,,,0.8132153749465942,0.4507814645767212,,
,,,,,,,,,,35,143,,,,,0.6958637237548828,1.371918797492981
,,,,,,,,,,35,143,,,0.8163371682167053,0.43602049350738525,,
,,,,,,,,,,36,147,,,,,0.7639902830123901,1.410290241241455
,,,,,,,,,,36,147,,,0.8262226581573486,0.46036532521247864,,
,,,,,,,,,,37,151,,,,,0.7323601245880127,1.451101303100586
,,,,,,,,,,37,151,,,0.8262226581573486,0.44670015573501587,,
,,,,,,,,,,38,155,,,,,0.7810218930244446,1.0182119607925415
,,,,,,,,,,38,155,,,0.807492196559906,0.4646378755569458,,
,,,,,,,,,,39,159,,,,,0.7493917346000671,1.4060320854187012
,,,,,,,,,,39,159,,,0.8204994797706604,0.4484636187553406,,
,,,,,,,,,,40,163,,,,,0.798053503036499,0.4705903232097626
,,,,,,,,,,40,163,,,0.8210197687149048,0.44934725761413574,,
,,,,,,,,,,41,167,,,,,0.7834550142288208,0.5830497741699219
,,,,,,,,,,41,167,,,0.8236212134361267,0.4351655840873718,,
,,,,,,,,,,42,171,,,,,0.6934306621551514,2.1363096237182617
,,,,,,,,,,42,171,,,0.8371487855911255,0.42344963550567627,,
,,,,,,,,,,43,175,,,,,0.698296844959259,2.290006160736084
,,,,,,,,,,43,175,,,0.8246617913246155,0.44198858737945557,,
,,,,,,,,,,44,179,,,,,0.7883211970329285,0.696173906326294
,,,,,,,,,,44,179,,,0.8022893071174622,0.47645682096481323,,
,,,,,,,,,,45,183,,,,,0.8223844170570374,0.46201199293136597
,,,,,,,,,,45,183,,,0.8215400576591492,0.4535910487174988,,
,,,,,,,,,,46,187,,,,,0.727493941783905,0.7753949165344238
,,,,,,,,,,46,187,,,0.8194589018821716,0.4425717890262604,,
,,,,,,,,,,47,191,,,,,0.6593673825263977,1.1239670515060425
,,,,,,,,,,47,191,,,0.8293444514274597,0.4486589729785919,,
,,,,,,,,,,48,195,,,,,0.7226277589797974,0.8325110077857971
,,,,,,,,,,48,195,,,0.8100936412811279,0.46105918288230896,,
,,,,,,,,,,49,199,,,,,0.7080292105674744,0.8796894550323486
,,,,,,,,,,49,199,,,0.8168574571609497,0.44667690992355347,,
,,,,,,,,,,50,203,,,,,0.7031630277633667,0.719054639339447
,,,,,,,,,,50,203,,,0.8225806355476379,0.43413421511650085,,
,,,,,,,,,,51,207,,,,,0.7177615761756897,0.9224370718002319
,,,,,,,,,,51,207,,,0.8231009244918823,0.43996500968933105,,
,,,,,,,,,,52,211,,,,,0.7493917346000671,0.6309890747070312
,,,,,,,,,,52,211,,,0.8116545081138611,0.45004430413246155,,
,,,,,,,,,,53,215,,,,,0.7055960893630981,1.3870717287063599
,,,,,,,,,,53,215,,,0.8345473408699036,0.4283740818500519,,
,,,,,,,,,,54,219,,,,,0.7639902830123901,0.981227457523346
,,,,,,,,,,54,219,,,0.8132153749465942,0.44344520568847656,,
,,,,,,,,,,55,223,,,,,0.8029196858406067,0.8926528096199036
,,,,,,,,,,55,223,,,0.8163371682167053,0.45112448930740356,,
,,,,,,,,,,56,227,,,,,0.7761557102203369,0.6860646605491638
,,,,,,,,,,56,227,,,0.8319458961486816,0.4248090386390686,,
,,,,,,,,,,57,231,,,,,0.7372262477874756,1.0841721296310425
,,,,,,,,,,57,231,,,0.8277835845947266,0.4396950602531433,,
,,,,,,,,,,58,235,,,,,0.7347931861877441,1.5931639671325684
,,,,,,,,,,58,235,,,0.8220603466033936,0.45679569244384766,,
,,,,,,,,,,59,239,,,,,0.6520681381225586,1.8056375980377197
,,,,,,,,,,59,239,,,0.8007283806800842,0.4903578460216522,,
,,,,,,,,,,60,243,,,,,0.7080292105674744,0.7166591286659241
,,,,,,,,,,60,243,,,0.7856399416923523,0.5406904816627502,,
,,,,,,,,,,61,247,,,,,0.7080292105674744,1.4069504737854004
,,,,,,,,,,61,247,,,0.8121747970581055,0.4699171483516693,,
,,,,,,,,,,62,251,,,,,0.7883211970329285,0.6907430291175842
,,,,,,,,,,62,251,,,0.7976066470146179,0.5128144025802612,,
,,,,,,,,,,63,255,,,,,0.5912408828735352,1.7320594787597656
,,,,,,,,,,63,255,,,0.8178980350494385,0.4492007791996002,,
,,,,,,,,,,64,259,,,,,0.727493941783905,0.8599047064781189
