class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,class_5_acc,class_6_acc,class_7_acc,class_8_acc,class_9_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,,,,,,0,3,,,,,0.5571776032447815,9.23606014251709
,,,,,,,,,,0,3,,,0.8563995957374573,0.38776490092277527,,
,,,,,,,,,,1,7,,,,,0.5888077616691589,5.3033270835876465
,,,,,,,,,,1,7,,,0.6857439875602722,1.004718542098999,,
,,,,,,,,,,2,11,,,,,0.639902651309967,7.244223117828369
,,,,,,,,,,2,11,,,0.7528616189956665,0.6673284769058228,,
,,,,,,,,,,3,15,,,,,0.6715328693389893,5.590707302093506
,,,,,,,,,,3,15,,,0.7793964743614197,0.5661075711250305,,
,,,,,,,,,,4,19,,,,,0.639902651309967,1.2456480264663696
,,,,,,,,,,4,19,,,0.7851196527481079,0.5639272332191467,,
,,,,,,,,,,5,23,,,,,0.7153284549713135,0.9054363369941711
,,,,,,,,,,5,23,,,0.7814776301383972,0.55558180809021,,
,,,,,,,,,,6,27,,,,,0.6958637237548828,2.0376203060150146
,,,,,,,,,,6,27,,,0.8017690181732178,0.5077666640281677,,
,,,,,,,,,,7,31,,,,,0.7469586133956909,0.7976458072662354
,,,,,,,,,,7,31,,,0.8017690181732178,0.5029043555259705,,
,,,,,,,,,,8,35,,,,,0.6253041625022888,1.7490930557250977
,,,,,,,,,,8,35,,,0.8319458961486816,0.44169479608535767,,
,,,,,,,,,,9,39,,,,,0.6909975409507751,0.7506892085075378
,,,,,,,,,,9,39,,,0.8168574571609497,0.4768301546573639,,
,,,,,,,,,,10,43,,,,,0.7688564658164978,0.9077221155166626
,,,,,,,,,,10,43,,,0.8116545081138611,0.47248363494873047,,
,,,,,,,,,,11,47,,,,,0.727493941783905,1.1144927740097046
,,,,,,,,,,11,47,,,0.8069719076156616,0.4832242429256439,,
,,,,,,,,,,12,51,,,,,0.7007299065589905,2.2244839668273926
,,,,,,,,,,12,51,,,0.8069719076156616,0.477578729391098,,
,,,,,,,,,,13,55,,,,,0.683698296546936,0.9578909277915955
,,,,,,,,,,13,55,,,0.8189386129379272,0.45280539989471436,,
,,,,,,,,,,14,59,,,,,0.7493917346000671,0.808257520198822
,,,,,,,,,,14,59,,,0.8090530633926392,0.4675043821334839,,
,,,,,,,,,,15,63,,,,,0.7542579174041748,1.0195773839950562
,,,,,,,,,,15,63,,,0.8361082077026367,0.4302347004413605,,
,,,,,,,,,,16,67,,,,,0.698296844959259,1.8947691917419434
,,,,,,,,,,16,67,,,0.8085327744483948,0.4773483872413635,,
,,,,,,,,,,17,71,,,,,0.683698296546936,2.1840577125549316
,,,,,,,,,,17,71,,,0.8204994797706604,0.44329366087913513,,
,,,,,,,,,,18,75,,,,,0.7518247961997986,1.7967655658721924
,,,,,,,,,,18,75,,,0.8012486696243286,0.4842577576637268,,
,,,,,,,,,,19,79,,,,,0.6666666865348816,2.967766046524048
,,,,,,,,,,19,79,,,0.8309053182601929,0.4343276917934418,,
,,,,,,,,,,20,83,,,,,0.6593673825263977,1.3356859683990479
,,,,,,,,,,20,83,,,0.8303850293159485,0.43705320358276367,,
,,,,,,,,,,21,87,,,,,0.6107056140899658,2.6085939407348633
,,,,,,,,,,21,87,,,0.8033298850059509,0.4866265058517456,,
,,,,,,,,,,22,91,,,,,0.7323601245880127,2.2065346240997314
,,,,,,,,,,22,91,,,0.8085327744483948,0.46813318133354187,,
,,,,,,,,,,23,95,,,,,0.6861313581466675,3.1732072830200195
,,,,,,,,,,23,95,,,0.8163371682167053,0.4434065520763397,,
,,,,,,,,,,24,99,,,,,0.7372262477874756,0.7205642461776733
,,,,,,,,,,24,99,,,0.8272632956504822,0.44201162457466125,,
,,,,,,,,,,25,103,,,,,0.812652051448822,0.5336931347846985
,,,,,,,,,,25,103,,,0.8012486696243286,0.4860142171382904,,
,,,,,,,,,,26,107,,,,,0.7931873202323914,0.7832491397857666
,,,,,,,,,,26,107,,,0.8277835845947266,0.42763692140579224,,
,,,,,,,,,,27,111,,,,,0.6472019553184509,1.9306539297103882
,,,,,,,,,,27,111,,,0.8168574571609497,0.4414040148258209,,
,,,,,,,,,,28,115,,,,,0.6253041625022888,1.4483274221420288
,,,,,,,,,,28,115,,,0.8038501739501953,0.48117026686668396,,
,,,,,,,,,,29,119,,,,,0.6934306621551514,0.823501467704773
,,,,,,,,,,29,119,,,0.8069719076156616,0.48673027753829956,,
,,,,,,,,,,30,123,,,,,0.6739659309387207,2.4736740589141846
,,,,,,,,,,30,123,,,0.826742947101593,0.4573160409927368,,
,,,,,,,,,,31,127,,,,,0.7396593689918518,0.7340942621231079
,,,,,,,,,,31,127,,,0.8152965903282166,0.45239895582199097,,
,,,,,,,,,,32,131,,,,,0.683698296546936,2.083869457244873
,,,,,,,,,,32,131,,,0.8246617913246155,0.42268887162208557,,
,,,,,,,,,,33,135,,,,,0.7834550142288208,0.5531436800956726
,,,,,,,,,,33,135,,,0.8137356638908386,0.4640926122665405,,
,,,,,,,,,,34,139,,,,,0.7177615761756897,1.2544766664505005
,,,,,,,,,,34,139,,,0.8215400576591492,0.443092405796051,,
,,,,,,,,,,35,143,,,,,0.7396593689918518,1.4130823612213135
,,,,,,,,,,35,143,,,0.8147763013839722,0.4576985538005829,,
,,,,,,,,,,36,147,,,,,0.7031630277633667,1.843868613243103
,,,,,,,,,,36,147,,,0.8147763013839722,0.4746532440185547,,
,,,,,,,,,,37,151,,,,,0.6861313581466675,2.223867177963257
,,,,,,,,,,37,151,,,0.8043704628944397,0.5036253333091736,,
,,,,,,,,,,38,155,,,,,0.7493917346000671,0.7109224796295166
,,,,,,,,,,38,155,,,0.8116545081138611,0.4714205265045166,,
,,,,,,,,,,39,159,,,,,0.7104622721672058,0.6678807735443115
,,,,,,,,,,39,159,,,0.8204994797706604,0.4476446211338043,,
,,,,,,,,,,40,163,,,,,0.6763990521430969,1.849753975868225
,,,,,,,,,,40,163,,,0.8189386129379272,0.4496137201786041,,
,,,,,,,,,,41,167,,,,,0.7299270033836365,1.207367181777954
,,,,,,,,,,41,167,,,0.8064516186714172,0.48758989572525024,,
,,,,,,,,,,42,171,,,,,0.7323601245880127,0.6230489015579224
,,,,,,,,,,42,171,,,0.8241415023803711,0.44718998670578003,,
,,,,,,,,,,43,175,,,,,0.7153284549713135,1.6198686361312866
,,,,,,,,,,43,175,,,0.8173777461051941,0.43669915199279785,,
,,,,,,,,,,44,179,,,,,0.6788321137428284,2.6039907932281494
