class_0_acc,class_1_acc,class_2_acc,class_3_acc,class_4_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,,,0,3,,,,,0.6117936372756958,1.860595703125
,,,,,0,3,,,0.8086224794387817,0.4169151186943054,,
,,,,,1,7,,,,,0.6314496397972107,1.313125491142273
,,,,,1,7,,,0.7197686433792114,0.6231299042701721,,
,,,,,2,11,,,,,0.6683046817779541,2.806204319000244
,,,,,2,11,,,0.7539432048797607,0.5924091935157776,,
,,,,,3,15,,,,,0.7149876952171326,0.7454084157943726
,,,,,3,15,,,0.7297581434249878,0.5988947749137878,,
,,,,,4,19,,,,,0.5995085835456848,1.4624416828155518
,,,,,4,19,,,0.7712934017181396,0.49333661794662476,,
,,,,,5,23,,,,,0.7002456784248352,0.677916944026947
,,,,,5,23,,,0.7860147356987,0.4695917069911957,,
,,,,,6,27,,,,,0.6953316926956177,1.12542724609375
,,,,,6,27,,,0.7902207970619202,0.45049580931663513,,
,,,,,7,31,,,,,0.687960684299469,0.9707140922546387
,,,,,7,31,,,0.797055721282959,0.44438937306404114,,
,,,,,8,35,,,,,0.6584766507148743,1.4286555051803589
,,,,,8,35,,,0.7849631905555725,0.478463739156723,,
,,,,,9,39,,,,,0.6609336733818054,2.0696351528167725
,,,,,9,39,,,0.7823343873023987,0.4554864764213562,,
,,,,,10,43,,,,,0.710073709487915,0.7468705773353577
,,,,,10,43,,,0.7917981147766113,0.4376029074192047,,
,,,,,11,47,,,,,0.665847659111023,1.1745120286941528
,,,,,11,47,,,0.7865405082702637,0.46265822649002075,,
,,,,,12,51,,,,,0.7248157262802124,0.8302901983261108
,,,,,12,51,,,0.7823343873023987,0.4751187860965729,,
,,,,,13,55,,,,,0.6486486196517944,2.2554919719696045
,,,,,13,55,,,0.797055721282959,0.4477173686027527,,
,,,,,14,59,,,,,0.6584766507148743,1.069404125213623
,,,,,14,59,,,0.8154574036598206,0.4122649133205414,,
,,,,,15,63,,,,,0.7321867346763611,0.653840959072113
,,,,,15,63,,,0.8059936761856079,0.43645334243774414,,
,,,,,16,67,,,,,0.7493857741355896,0.6568544507026672
,,,,,16,67,,,0.8023133277893066,0.4331958293914795,,
,,,,,17,71,,,,,0.7616707682609558,0.6246364116668701
,,,,,17,71,,,0.8044164180755615,0.432839572429657,,
,,,,,18,75,,,,,0.7837837934494019,0.5356237292289734
,,,,,18,75,,,0.7975814938545227,0.42569950222969055,,
,,,,,19,79,,,,,0.7837837934494019,0.5371440649032593
,,,,,19,79,,,0.8159831762313843,0.4034285247325897,,
,,,,,20,83,,,,,0.7420147657394409,0.5979331731796265
,,,,,20,83,,,0.8180862069129944,0.3909818232059479,,
,,,,,21,87,,,,,0.8058968186378479,0.4901954233646393
,,,,,21,87,,,0.7944269180297852,0.4287251830101013,,
,,,,,22,91,,,,,0.7027027010917664,1.0187798738479614
,,,,,22,91,,,0.816508948802948,0.3937932550907135,,
,,,,,23,95,,,,,0.6117936372756958,2.1442739963531494
,,,,,23,95,,,0.8112513422966003,0.417788565158844,,
,,,,,24,99,,,,,0.751842737197876,0.5961101055145264
,,,,,24,99,,,0.7965299487113953,0.43424010276794434,,
,,,,,25,103,,,,,0.7223587036132812,0.6837078928947449
,,,,,25,103,,,0.8207150101661682,0.3925403952598572,,
,,,,,26,107,,,,,0.6781326532363892,0.9074476361274719
,,,,,26,107,,,0.8049421906471252,0.42906177043914795,,
,,,,,27,111,,,,,0.7395577430725098,0.7450056076049805
,,,,,27,111,,,0.7975814938545227,0.443673312664032,,
,,,,,28,115,,,,,0.6683046817779541,0.7679245471954346
,,,,,28,115,,,0.801261842250824,0.4224034547805786,,
,,,,,29,119,,,,,0.7567567825317383,0.6733090281486511
,,,,,29,119,,,0.812302827835083,0.40616893768310547,,
,,,,,30,123,,,,,0.7346437573432922,0.5707817077636719
,,,,,30,123,,,0.8070452213287354,0.4221400320529938,,
,,,,,31,127,,,,,0.7272727489471436,0.7967206835746765
,,,,,31,127,,,0.7975814938545227,0.4123817980289459,,
,,,,,32,131,,,,,0.7076166868209839,0.8752945065498352
,,,,,32,131,,,0.8128286004066467,0.4149939715862274,,
,,,,,33,135,,,,,0.7027027010917664,0.714618980884552
,,,,,33,135,,,0.8175604343414307,0.399516761302948,,
,,,,,34,139,,,,,0.710073709487915,0.6874781847000122
,,,,,34,139,,,0.8038906455039978,0.4109116196632385,,
,,,,,35,143,,,,,0.7371007204055786,0.6219968199729919
,,,,,35,143,,,0.8028391003608704,0.4085860252380371,,
,,,,,36,147,,,,,0.7420147657394409,0.6281252503395081
,,,,,36,147,,,0.8138801455497742,0.4002663195133209,,
,,,,,37,151,,,,,0.7248157262802124,0.6214779019355774
,,,,,37,151,,,0.8033648729324341,0.4155214726924896,,
,,,,,38,155,,,,,0.7272727489471436,1.0691215991973877
,,,,,38,155,,,0.8096740245819092,0.41827771067619324,,
,,,,,39,159,,,,,0.7272727489471436,0.6654096841812134
,,,,,39,159,,,0.8238695859909058,0.40723684430122375,,
,,,,,40,163,,,,,0.6732186675071716,0.7274441123008728
,,,,,40,163,,,0.8017876148223877,0.43396106362342834,,
,,,,,41,167,,,,,0.7321867346763611,1.0526444911956787
,,,,,41,167,,,0.7949526906013489,0.4349099099636078,,
,,,,,42,171,,,,,0.7444717288017273,0.8027682900428772
,,,,,42,171,,,0.7949526906013489,0.4339402914047241,,
,,,,,43,175,,,,,0.7493857741355896,0.5959222316741943
,,,,,43,175,,,0.8017876148223877,0.4436611831188202,,
,,,,,44,179,,,,,0.7690417766571045,0.6376016139984131
,,,,,44,179,,,0.8191377520561218,0.4077596962451935,,
,,,,,45,183,,,,,0.7002456784248352,0.6843491792678833
,,,,,45,183,,,0.812302827835083,0.39354828000068665,,
,,,,,46,187,,,,,0.7444717288017273,0.5632089376449585
,,,,,46,187,,,0.812302827835083,0.4048231840133667,,
,,,,,47,191,,,,,0.7788698077201843,0.5264190435409546
,,,,,47,191,,,0.8028391003608704,0.4158857762813568,,
,,,,,48,195,,,,,0.7788698077201843,0.4966786503791809
,,,,,48,195,,,0.8144059181213379,0.41782066226005554,,
,,,,,49,199,,,,,0.7493857741355896,0.6424462199211121
,,,,,49,199,,,0.8128286004066467,0.41578763723373413,,
,,,,,50,203,,,,,0.6756756901741028,1.264095425605774
,,,,,50,203,,,0.8054679036140442,0.43340933322906494,,
,,,,,51,207,,,,,0.7567567825317383,0.6037895083427429
,,,,,51,207,,,0.8138801455497742,0.43716803193092346,,
,,,,,52,211,,,,,0.7665847539901733,0.6046894192695618
,,,,,52,211,,,0.8159831762313843,0.39135733246803284,,
,,,,,53,215,,,,,0.6461916565895081,1.6295745372772217
,,,,,53,215,,,0.812302827835083,0.4086056053638458,,
,,,,,54,219,,,,,0.773955762386322,0.7005708813667297
,,,,,54,219,,,0.8186119794845581,0.3975249230861664,,
,,,,,55,223,,,,,0.7542997598648071,0.5657532215118408
,,,,,55,223,,,0.7839116454124451,0.45577725768089294,,
,,,,,56,227,,,,,0.7567567825317383,0.6194829940795898
,,,,,56,227,,,0.8054679036140442,0.3972460627555847,,
,,,,,57,231,,,,,0.7542997598648071,0.5825444459915161
,,,,,57,231,,,0.8296530246734619,0.3874966502189636,,
,,,,,58,235,,,,,0.7592137455940247,0.6548503041267395
,,,,,58,235,,,0.8270241618156433,0.40153688192367554,,
,,,,,59,239,,,,,0.7862407565116882,0.5638527274131775
,,,,,59,239,,,0.8186119794845581,0.4131653308868408,,
,,,,,60,243,,,,,0.7149876952171326,0.7212710976600647
,,,,,60,243,,,0.8133543729782104,0.4171977639198303,,
,,,,,61,247,,,,,0.7444717288017273,0.6529635787010193
,,,,,61,247,,,0.8117770552635193,0.4141477942466736,,
,,,,,62,251,,,,,0.7346437573432922,0.7937743663787842
,,,,,62,251,,,0.8054679036140442,0.42207902669906616,,
,,,,,63,255,,,,,0.6633906364440918,1.7747418880462646
,,,,,63,255,,,0.8107255697250366,0.40966665744781494,,
,,,,,64,259,,,,,0.7125307321548462,0.9193402528762817
,,,,,64,259,,,0.7854889631271362,0.4446897506713867,,
,,,,,65,263,,,,,0.6977887153625488,0.8140098452568054
,,,,,65,263,,,0.8028391003608704,0.4287850558757782,,
,,,,,66,267,,,,,0.7125307321548462,0.6186229586601257
,,,,,66,267,,,0.7944269180297852,0.43200984597206116,,
,,,,,67,271,,,,,0.7420147657394409,0.6633560061454773
,,,,,67,271,,,0.7991587519645691,0.42830440402030945,,
,,,,,68,275,,,,,0.7886977791786194,0.5303410887718201
,,,,,68,275,,,0.8117770552635193,0.4115621745586395,,
,,,,,69,279,,,,,0.773955762386322,0.5299901962280273
,,,,,69,279,,,0.8228181004524231,0.39775508642196655,,
,,,,,70,283,,,,,0.7149876952171326,0.683962881565094
,,,,,70,283,,,0.816508948802948,0.41303759813308716,,
,,,,,71,287,,,,,0.7764127850532532,0.5153266191482544
,,,,,71,287,,,0.8254469037055969,0.3840571343898773,,
,,,,,72,291,,,,,0.7174447178840637,0.714704155921936
,,,,,72,291,,,0.8180862069129944,0.39676788449287415,,
,,,,,73,295,,,,,0.7592137455940247,0.6352722644805908
,,,,,73,295,,,0.816508948802948,0.41663023829460144,,
,,,,,74,299,,,,,0.7248157262802124,0.6644665002822876
,,,,,74,299,,,0.8059936761856079,0.4149305522441864,,
,,,,,75,303,,,,,0.7346437573432922,0.5638762712478638
,,,,,75,303,,,0.7975814938545227,0.43612951040267944,,
,,,,,76,307,,,,,0.7592137455940247,0.5776812434196472
,,,,,76,307,,,0.8065194487571716,0.4112403988838196,,
,,,,,77,311,,,,,0.6977887153625488,0.998374342918396
,,,,,77,311,,,0.8191377520561218,0.3951473534107208,,
,,,,,78,315,,,,,0.7174447178840637,0.7220926880836487
,,,,,78,315,,,0.8107255697250366,0.4191882610321045,,
,,,,,79,319,,,,,0.6584766507148743,1.0656230449676514
,,,,,79,319,,,0.7912723422050476,0.45201823115348816,,
,,,,,80,323,,,,,0.6584766507148743,1.3446359634399414
,,,,,80,323,,,0.801261842250824,0.42945536971092224,,
,,,,,81,327,,,,,0.6953316926956177,1.1274657249450684
,,,,,81,327,,,0.797055721282959,0.4384899139404297,,
,,,,,82,331,,,,,0.7051597237586975,0.8507864475250244
,,,,,82,331,,,0.8080967664718628,0.407306432723999,,
,,,,,83,335,,,,,0.751842737197876,0.5686456561088562
,,,,,83,335,,,0.816508948802948,0.39970776438713074,,
,,,,,84,339,,,,,0.6683046817779541,1.1430814266204834
,,,,,84,339,,,0.7939011454582214,0.44331127405166626,,
,,,,,85,343,,,,,0.7248157262802124,0.5946369767189026
,,,,,85,343,,,0.8133543729782104,0.41242659091949463,,
,,,,,86,347,,,,,0.7321867346763611,0.7666400074958801
,,,,,86,347,,,0.816508948802948,0.4071144163608551,,
,,,,,87,351,,,,,0.6535626649856567,1.13026762008667
,,,,,87,351,,,0.7707676291465759,0.4599767029285431,,
,,,,,88,355,,,,,0.6830466985702515,0.943152666091919
,,,,,88,355,,,0.8128286004066467,0.4041037857532501,,
,,,,,89,359,,,,,0.7076166868209839,0.6592195630073547
,,,,,89,359,,,0.7981072664260864,0.42639651894569397,,
,,,,,90,363,,,,,0.7297297120094299,0.7225738167762756
,,,,,90,363,,,0.8133543729782104,0.399676114320755,,
,,,,,91,367,,,,,0.7837837934494019,0.5089318156242371
,,,,,91,367,,,0.7849631905555725,0.4422187805175781,,
,,,,,92,371,,,,,0.751842737197876,0.5568543076515198
,,,,,92,371,,,0.8112513422966003,0.39562368392944336,,
,,,,,93,375,,,,,0.6461916565895081,1.4028973579406738
,,,,,93,375,,,0.8075709939002991,0.41509631276130676,,
,,,,,94,379,,,,,0.6781326532363892,0.8231262564659119
,,,,,94,379,,,0.7949526906013489,0.4468167722225189,,
,,,,,95,383,,,,,0.6904177069664001,1.0493499040603638
,,,,,95,383,,,0.7912723422050476,0.4376205503940582,,
,,,,,96,387,,,,,0.764127790927887,0.7501068711280823
,,,,,96,387,,,0.8028391003608704,0.42670124769210815,,
,,,,,97,391,,,,,0.7493857741355896,0.6196091771125793
,,,,,97,391,,,0.8128286004066467,0.4137815535068512,,
,,,,,98,395,,,,,0.7321867346763611,0.6989637613296509
,,,,,98,395,,,0.8212407827377319,0.4102627635002136,,
,,,,,99,399,,,,,0.6732186675071716,1.120100736618042
,,,,,99,399,,,0.7949526906013489,0.43026846647262573,,
,,,,,100,403,,,,,0.6756756901741028,0.8030357360839844
,,,,,100,403,,,0.7891693115234375,0.5108844637870789,,
,,,,,101,407,,,,,0.6560196280479431,1.5438814163208008
,,,,,101,407,,,0.7944269180297852,0.4540066719055176,,
,,,,,102,411,,,,,0.6904177069664001,0.9163064956665039
,,,,,102,411,,,0.7865405082702637,0.46675726771354675,,
,,,,,103,415,,,,,0.6781326532363892,1.2820650339126587
,,,,,103,415,,,0.7828601598739624,0.46240460872650146,,
,,,,,104,419,,,,,0.6633906364440918,1.2345088720321655
,,,,,104,419,,,0.8038906455039978,0.445331871509552,,
,,,,,105,423,,,,,0.6461916565895081,1.107289433479309
,,,,,105,423,,,0.8080967664718628,0.4239228367805481,,
,,,,,106,427,,,,,0.6707616448402405,1.2263944149017334
,,,,,106,427,,,0.8107255697250366,0.40364840626716614,,
,,,,,107,431,,,,,0.710073709487915,0.641225278377533
,,,,,107,431,,,0.8038906455039978,0.42414921522140503,,
,,,,,108,435,,,,,0.7371007204055786,0.7217006087303162
,,,,,108,435,,,0.8128286004066467,0.41243311762809753,,
,,,,,109,439,,,,,0.6855036616325378,0.9004557728767395
,,,,,109,439,,,0.7975814938545227,0.42941299080848694,,
,,,,,110,443,,,,,0.6683046817779541,1.8193604946136475
,,,,,110,443,,,0.8154574036598206,0.4034923017024994,,
,,,,,111,447,,,,,0.7174447178840637,0.7389895915985107
,,,,,111,447,,,0.7907465696334839,0.43333566188812256,,
,,,,,112,451,,,,,0.7027027010917664,0.7262519001960754
,,,,,112,451,,,0.7928496599197388,0.43184515833854675,,
,,,,,113,455,,,,,0.7125307321548462,0.7713617086410522
,,,,,113,455,,,0.8033648729324341,0.41021496057510376,,
,,,,,114,459,,,,,0.7542997598648071,0.554225742816925
,,,,,114,459,,,0.812302827835083,0.41586020588874817,,
,,,,,115,463,,,,,0.8058968186378479,0.503963828086853
,,,,,115,463,,,0.8170347213745117,0.4005896747112274,,
,,,,,116,467,,,,,0.7321867346763611,0.6237443089485168
,,,,,116,467,,,0.8080967664718628,0.4053942561149597,,
,,,,,117,471,,,,,0.7051597237586975,0.7029829621315002
,,,,,117,471,,,0.8086224794387817,0.4110910892486572,,
,,,,,118,475,,,,,0.7469287514686584,0.6329933404922485
,,,,,118,475,,,0.7991587519645691,0.4396921992301941,,
,,,,,119,479,,,,,0.7862407565116882,0.5231227874755859
,,,,,119,479,,,0.7954784631729126,0.4316875636577606,,
,,,,,120,483,,,,,0.7002456784248352,0.9554885029792786
,,,,,120,483,,,0.8191377520561218,0.40897634625434875,,
,,,,,121,487,,,,,0.6904177069664001,0.8646168112754822
,,,,,121,487,,,0.8259726762771606,0.3902754783630371,,
,,,,,122,491,,,,,0.6977887153625488,0.9662623405456543
,,,,,122,491,,,0.8028391003608704,0.43023377656936646,,
,,,,,123,495,,,,,0.7837837934494019,0.5475205183029175
,,,,,123,495,,,0.8038906455039978,0.43785610795021057,,
,,,,,124,499,,,,,0.7248157262802124,0.6303509473800659
,,,,,124,499,,,0.8117770552635193,0.4103415310382843,,
,,,,,125,503,,,,,0.7149876952171326,0.5986196994781494
,,,,,125,503,,,0.7954784631729126,0.42200300097465515,,
,,,,,126,507,,,,,0.7297297120094299,0.880085289478302
,,,,,126,507,,,0.8117770552635193,0.4081237316131592,,
,,,,,127,511,,,,,0.7395577430725098,0.5708229541778564
,,,,,127,511,,,0.8096740245819092,0.4229765236377716,,
,,,,,128,515,,,,,0.7248157262802124,0.7184044122695923
,,,,,128,515,,,0.8033648729324341,0.4274483621120453,,
,,,,,129,519,,,,,0.710073709487915,0.6805934309959412
,,,,,129,519,,,0.7949526906013489,0.4472014904022217,,
,,,,,130,523,,,,,0.6805896759033203,0.9652530550956726
,,,,,130,523,,,0.8091482520103455,0.4117680788040161,,
,,,,,131,527,,,,,0.6265356540679932,1.6063193082809448
,,,,,131,527,,,0.7886435389518738,0.45248037576675415,,
,,,,,132,531,,,,,0.7616707682609558,0.7221730947494507
,,,,,132,531,,,0.8017876148223877,0.4302766025066376,,
,,,,,133,535,,,,,0.7149876952171326,0.7707690000534058
,,,,,133,535,,,0.7986330389976501,0.432140976190567,,
,,,,,134,539,,,,,0.773955762386322,0.5918076634407043
,,,,,134,539,,,0.8059936761856079,0.4425000548362732,,
,,,,,135,543,,,,,0.7714987993240356,0.537878155708313
,,,,,135,543,,,0.8201892971992493,0.404204785823822,,
,,,,,136,547,,,,,0.7493857741355896,0.6362622380256653
,,,,,136,547,,,0.8159831762313843,0.41939106583595276,,
,,,,,137,551,,,,,0.7346437573432922,0.7121785283088684
,,,,,137,551,,,0.8033648729324341,0.4238099157810211,,
,,,,,138,555,,,,,0.7714987993240356,0.6862987875938416
,,,,,138,555,,,0.8065194487571716,0.45006638765335083,,
,,,,,139,559,,,,,0.7493857741355896,0.6051668524742126
,,,,,139,559,,,0.8075709939002991,0.4379962384700775,,
,,,,,140,563,,,,,0.6683046817779541,1.9824728965759277
,,,,,140,563,,,0.8002102971076965,0.4425501525402069,,
,,,,,141,567,,,,,0.6584766507148743,1.991960883140564
,,,,,141,567,,,0.8059936761856079,0.41709092259407043,,
,,,,,142,571,,,,,0.7567567825317383,0.6064271926879883
,,,,,142,571,,,0.8075709939002991,0.4267997145652771,,
,,,,,143,575,,,,,0.6683046817779541,0.9657703042030334
,,,,,143,575,,,0.8002102971076965,0.4424249529838562,,
,,,,,144,579,,,,,0.7199017405509949,0.6746136546134949
,,,,,144,579,,,0.7854889631271362,0.47938886284828186,,
,,,,,145,583,,,,,0.7174447178840637,1.095995306968689
,,,,,145,583,,,0.7960042357444763,0.4386657774448395,,
,,,,,146,587,,,,,0.7321867346763611,0.7112123370170593
,,,,,146,587,,,0.827549934387207,0.3992583751678467,,
,,,,,147,591,,,,,0.8034397959709167,0.5329264998435974
,,,,,147,591,,,0.8243953585624695,0.3903884291648865,,
,,,,,148,595,,,,,0.6535626649856567,1.2537968158721924
,,,,,148,595,,,0.8149316310882568,0.42288368940353394,,
,,,,,149,599,,,,,0.6904177069664001,0.7465916872024536
,,,,,149,599,,,0.792323887348175,0.42649176716804504,,
,,,,,150,603,,,,,0.7444717288017273,0.7426554560661316
,,,,,150,603,,,0.8091482520103455,0.41036179661750793,,
,,,,,151,607,,,,,0.7911548018455505,0.5064204931259155
,,,,,151,607,,,0.8133543729782104,0.4109036922454834,,
,,,,,152,611,,,,,0.7616707682609558,0.5914191603660583
,,,,,152,611,,,0.8159831762313843,0.42392295598983765,,
,,,,,153,615,,,,,0.7223587036132812,0.7702624797821045
,,,,,153,615,,,0.7965299487113953,0.45242318511009216,,
,,,,,154,619,,,,,0.6363636255264282,2.350950002670288
