class_0_acc,class_1_acc,class_2_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,,0,0,,,,,0.4714285731315613,1.0772112607955933
,,,0,0,,,0.4682779312133789,1.0943048000335693,,
,,,1,1,,,,,0.4714285731315613,1.0772809982299805
,,,1,1,,,0.5135951638221741,1.0689842700958252,,
,,,2,2,,,,,0.4714285731315613,1.0752789974212646
,,,2,2,,,0.5256797671318054,1.0526039600372314,,
,,,3,3,,,,,0.4714285731315613,1.0722306966781616
,,,3,3,,,0.5347431898117065,1.041346788406372,,
,,,4,4,,,,,0.4714285731315613,1.068966269493103
,,,4,4,,,0.5498489141464233,1.03108549118042,,
,,,5,5,,,,,0.4714285731315613,1.0652623176574707
,,,5,5,,,0.555891215801239,1.0205236673355103,,
,,,6,6,,,,,0.4714285731315613,1.0612932443618774
,,,6,6,,,0.5709969997406006,1.0093187093734741,,
,,,7,7,,,,,0.4714285731315613,1.05712890625
,,,7,7,,,0.574018120765686,0.9997302293777466,,
,,,8,8,,,,,0.4714285731315613,1.0521832704544067
,,,8,8,,,0.5861027240753174,0.9858497977256775,,
,,,9,9,,,,,0.4714285731315613,1.0468121767044067
,,,9,9,,,0.5981873273849487,0.9707239866256714,,
,,,10,10,,,,,0.48571428656578064,1.0398716926574707
,,,10,10,,,0.5981873273849487,0.9612870216369629,,
,,,11,11,,,,,0.5,1.0326869487762451
,,,11,11,,,0.6132930517196655,0.94813072681427,,
,,,12,12,,,,,0.48571428656578064,1.0247349739074707
,,,12,12,,,0.6283987760543823,0.9334445595741272,,
,,,13,13,,,,,0.5142857432365417,1.0171945095062256
,,,13,13,,,0.6223564743995667,0.9201694130897522,,
,,,14,14,,,,,0.5142857432365417,1.0103201866149902
,,,14,14,,,0.6435045599937439,0.9067279696464539,,
,,,15,15,,,,,0.5142857432365417,1.0066720247268677
,,,15,15,,,0.6676737070083618,0.8926231265068054,,
,,,16,16,,,,,0.5142857432365417,1.004520058631897
,,,16,16,,,0.6616314053535461,0.8811222314834595,,
,,,17,17,,,,,0.5,1.0040806531906128
,,,17,17,,,0.6888217329978943,0.8671679496765137,,
,,,18,18,,,,,0.5,1.0040788650512695
,,,18,18,,,0.6918429136276245,0.8527593016624451,,
,,,19,19,,,,,0.5428571701049805,1.0025442838668823
,,,19,19,,,0.6888217329978943,0.8399781584739685,,
,,,20,20,,,,,0.5428571701049805,1.0013043880462646
,,,20,20,,,0.6978852152824402,0.8312962651252747,,
,,,21,21,,,,,0.5285714268684387,1.0036507844924927
,,,21,21,,,0.6978852152824402,0.8179938793182373,,
,,,22,22,,,,,0.5,1.0067906379699707
,,,22,22,,,0.7220543622970581,0.8020604848861694,,
,,,23,23,,,,,0.48571428656578064,1.0117658376693726
,,,23,23,,,0.7160120606422424,0.7970079779624939,,
,,,24,24,,,,,0.4571428596973419,1.0176844596862793
,,,24,24,,,0.7341389656066895,0.7798050045967102,,
,,,25,25,,,,,0.4714285731315613,1.0214399099349976
,,,25,25,,,0.7401812672615051,0.7662431001663208,,
,,,26,26,,,,,0.48571428656578064,1.0253156423568726
,,,26,26,,,0.7522658705711365,0.7573097944259644,,
,,,27,27,,,,,0.4571428596973419,1.0284563302993774
,,,27,27,,,0.7673715949058533,0.7454636693000793,,
,,,28,28,,,,,0.44285714626312256,1.0268014669418335
,,,28,28,,,0.7492446899414062,0.736160159111023,,
,,,29,29,,,,,0.4571428596973419,1.0301469564437866
,,,29,29,,,0.7673715949058533,0.7242745161056519,,
,,,30,30,,,,,0.48571428656578064,1.0327566862106323
,,,30,30,,,0.7552869915962219,0.7137109041213989,,
,,,31,31,,,,,0.5142857432365417,1.0302660465240479
,,,31,31,,,0.7552869915962219,0.7029326558113098,,
,,,32,32,,,,,0.5142857432365417,1.0292611122131348
,,,32,32,,,0.7613292932510376,0.6916933655738831,,
,,,33,33,,,,,0.5285714268684387,1.0316301584243774
,,,33,33,,,0.7703927755355835,0.6808134913444519,,
,,,34,34,,,,,0.5285714268684387,1.0359697341918945
,,,34,34,,,0.7794561982154846,0.6716352105140686,,
,,,35,35,,,,,0.48571428656578064,1.0418705940246582
,,,35,35,,,0.7945619225502014,0.6646274328231812,,
,,,36,36,,,,,0.4285714328289032,1.048727035522461
,,,36,36,,,0.7975831031799316,0.6492263674736023,,
,,,37,37,,,,,0.44285714626312256,1.048377513885498
,,,37,37,,,0.7975831031799316,0.6418150663375854,,
,,,38,38,,,,,0.44285714626312256,1.0396720170974731
,,,38,38,,,0.8006042242050171,0.6346563696861267,,
,,,39,39,,,,,0.4714285731315613,1.0282710790634155
,,,39,39,,,0.8066465258598328,0.6292951107025146,,
,,,40,40,,,,,0.48571428656578064,1.0248775482177734
,,,40,40,,,0.8096676468849182,0.6161695122718811,,
,,,41,41,,,,,0.48571428656578064,1.0304149389266968
,,,41,41,,,0.8277945518493652,0.6088147759437561,,
,,,42,42,,,,,0.44285714626312256,1.046297550201416
,,,42,42,,,0.8338368535041809,0.5995496511459351,,
,,,43,43,,,,,0.44285714626312256,1.0495831966400146
,,,43,43,,,0.8368580341339111,0.5895925760269165,,
,,,44,44,,,,,0.4714285731315613,1.050325870513916
,,,44,44,,,0.8489425778388977,0.5772908329963684,,
,,,45,45,,,,,0.48571428656578064,1.0464617013931274
,,,45,45,,,0.842900276184082,0.5735098123550415,,
,,,46,46,,,,,0.5,1.0393860340118408
,,,46,46,,,0.8731117844581604,0.5635958909988403,,
,,,47,47,,,,,0.5428571701049805,1.0436530113220215
,,,47,47,,,0.861027181148529,0.554254949092865,,
,,,48,48,,,,,0.5285714268684387,1.0506423711776733
,,,48,48,,,0.8731117844581604,0.5442395210266113,,
,,,49,49,,,,,0.5142857432365417,1.051382064819336
,,,49,49,,,0.870090663433075,0.535732090473175,,
,,,50,50,,,,,0.48571428656578064,1.0446341037750244
,,,50,50,,,0.8851963877677917,0.5242394208908081,,
,,,51,51,,,,,0.4714285731315613,1.0438482761383057
,,,51,51,,,0.8761329054832458,0.5173949003219604,,
,,,52,52,,,,,0.48571428656578064,1.0547256469726562
,,,52,52,,,0.8821752071380615,0.5083847641944885,,
,,,53,53,,,,,0.48571428656578064,1.066245436668396
,,,53,53,,,0.8761329054832458,0.5071173310279846,,
,,,54,54,,,,,0.5142857432365417,1.0671120882034302
,,,54,54,,,0.8791540861129761,0.5000031590461731,,
,,,55,55,,,,,0.5428571701049805,1.0723332166671753
,,,55,55,,,0.8791540861129761,0.487793892621994,,
,,,56,56,,,,,0.5142857432365417,1.0765146017074585
,,,56,56,,,0.8791540861129761,0.4817885756492615,,
,,,57,57,,,,,0.48571428656578064,1.0740190744400024
,,,57,57,,,0.9003021121025085,0.4740111827850342,,
,,,58,58,,,,,0.5,1.0650098323822021
,,,58,58,,,0.8942598104476929,0.4647475481033325,,
