class_0_acc,class_1_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,0,50,,,,,0.6089324355125427,0.6630035042762756
,,0,50,,,0.523809552192688,0.6922271847724915,,
,,1,101,,,,,0.6481481194496155,0.6388759613037109
,,1,101,,,0.6156240105628967,0.6642670631408691,,
,,2,152,,,,,0.6514161229133606,0.6162667274475098
,,2,152,,,0.6591970324516296,0.6206803321838379,,
,,3,203,,,,,0.6666666865348816,0.6021947860717773
,,3,203,,,0.6725801229476929,0.5961253643035889,,
,,4,254,,,,,0.6906318068504333,0.5851630568504333
,,4,254,,,0.6977902054786682,0.5582243204116821,,
,,5,305,,,,,0.6982570886611938,0.5642459988594055
,,5,305,,,0.733271062374115,0.5236521363258362,,
,,6,356,,,,,0.7189542651176453,0.5478076338768005
,,6,356,,,0.7450980544090271,0.4947158396244049,,
,,7,407,,,,,0.7167755961418152,0.5567049980163574
,,7,407,,,0.7615935206413269,0.48048585653305054,,
,,8,458,,,,,0.7254902124404907,0.5478155016899109
,,8,458,,,0.7746654152870178,0.45132556557655334,,
,,9,509,,,,,0.7156862616539001,0.5402215123176575
,,9,509,,,0.7877373099327087,0.42912939190864563,,
,,10,560,,,,,0.49673202633857727,28.474740982055664
,,10,560,,,0.7830687761306763,1.2099248170852661,,
,,11,611,,,,,0.7407407164573669,0.5287618041038513
,,11,611,,,0.6915655136108398,3.2728946208953857,,
,,12,662,,,,,0.7113289833068848,0.7136989235877991
,,12,662,,,0.7818238139152527,0.4700199365615845,,
,,13,713,,,,,0.7374727725982666,0.5676195621490479
,,13,713,,,0.7024587392807007,0.8124959468841553,,
,,14,764,,,,,0.758169949054718,0.5701540112495422
,,14,764,,,0.7983193397521973,0.42232009768486023,,
,,15,815,,,,,0.7309368252754211,0.5422415733337402
,,15,815,,,0.8244631290435791,0.39199376106262207,,
,,16,866,,,,,0.7331154942512512,0.5196287035942078
,,16,866,,,0.820105791091919,0.38445183634757996,,
,,17,917,,,,,0.742919385433197,0.5506806373596191
,,17,917,,,0.8341114521026611,0.3643473982810974,,
,,18,968,,,,,0.7440087199211121,0.5636022090911865
,,18,968,,,0.845004677772522,0.3465399146080017,,
,,19,1019,,,,,0.7505446672439575,0.572557806968689
,,19,1019,,,0.8462496399879456,0.335082083940506,,
,,20,1070,,,,,0.741830050945282,0.569100558757782
,,20,1070,,,0.8540304899215698,0.3260910212993622,,
,,21,1121,,,,,0.727668821811676,0.6133784651756287
,,21,1121,,,0.8543417453765869,0.3223763406276703,,
,,22,1172,,,,,0.7450980544090271,0.6187041401863098
,,22,1172,,,0.8689697980880737,0.29985564947128296,,
,,23,1223,,,,,0.7374727725982666,0.574120283126831
,,23,1223,,,0.8652349710464478,0.30699577927589417,,
,,24,1274,,,,,0.7461873888969421,0.6480204463005066
,,24,1274,,,0.8764394521713257,0.2845756411552429,,
,,25,1325,,,,,0.758169949054718,0.633753776550293
,,25,1325,,,0.8686586022377014,0.28615036606788635,,
,,26,1376,,,,,0.7461873888969421,1.0380077362060547
,,26,1376,,,0.8739495873451233,0.29372572898864746,,
,,27,1427,,,,,0.7483659982681274,0.610694944858551
,,27,1427,,,0.8823529481887817,0.2721158564090729,,
,,28,1478,,,,,0.7614378929138184,0.6422253251075745
,,28,1478,,,0.8867102265357971,0.25978779792785645,,
,,29,1529,,,,,0.7483659982681274,0.6046818494796753
,,29,1529,,,0.8814192414283752,0.2702424228191376,,
,,30,1580,,,,,0.7483659982681274,0.6504045128822327
,,30,1580,,,0.8892001509666443,0.28081005811691284,,
,,31,1631,,,,,0.7505446672439575,0.7189039587974548
,,31,1631,,,0.8985372185707092,0.2362009584903717,,
,,32,1682,,,,,0.758169949054718,0.7019654512405396
,,32,1682,,,0.8966698050498962,0.23791125416755676,,
,,33,1733,,,,,0.7549019455909729,0.7386082410812378
,,33,1733,,,0.9022720456123352,0.21576248109340668,,
,,34,1784,,,,,0.7527233362197876,0.684902548789978
,,34,1784,,,0.9094304442405701,0.22289501130580902,,
,,35,1835,,,,,0.7472766637802124,0.6509000658988953
,,35,1835,,,0.9047619104385376,0.22189612686634064,,
,,36,1886,,,,,0.7407407164573669,0.781799852848053
,,36,1886,,,0.9200124740600586,0.19338856637477875,,
,,37,1937,,,,,0.7461873888969421,0.7356663346290588
,,37,1937,,,0.9119203090667725,0.20840314030647278,,
,,38,1988,,,,,0.7396514415740967,0.9167577624320984
,,38,1988,,,0.916900098323822,0.19602379202842712,,
,,39,2039,,,,,0.7516340017318726,0.7897516489028931
,,39,2039,,,0.9215686321258545,0.18739931285381317,,
,,40,2090,,,,,0.7538126111030579,0.7617255449295044
,,40,2090,,,0.926237165927887,0.18351559340953827,,
,,41,2141,,,,,0.7494553327560425,0.8460959196090698
,,41,2141,,,0.9209461808204651,0.18335387110710144,,
,,42,2192,,,,,0.7396514415740967,0.9417913556098938
,,42,2192,,,0.926237165927887,0.17600961029529572,,
,,43,2243,,,,,0.7483659982681274,0.8366460800170898
,,43,2243,,,0.9190787672996521,0.18657542765140533,,
,,44,2294,,,,,0.7592592835426331,0.8739697337150574
,,44,2294,,,0.9330843687057495,0.16477958858013153,,
,,45,2345,,,,,0.7592592835426331,0.9323905110359192
,,45,2345,,,0.941487729549408,0.1561875194311142,,
,,46,2396,,,,,0.758169949054718,0.9502971768379211
,,46,2396,,,0.9365079402923584,0.1490972638130188,,
,,47,2447,,,,,0.7538126111030579,0.9307811856269836
,,47,2447,,,0.9361966848373413,0.14618690311908722,,
,,48,2487,,,,,0.7559912800788879,0.9951613545417786
,,48,2487,,,0.9398437738418579,0.15030428767204285,,
0.8105726838111877,0.7284482717514038,49,2488,0.7690631747245789,0.6366196274757385,,,,
