class_0_acc,class_1_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,0,50,,,,,0.6056644916534424,0.66229647397995
,,0,50,,,0.5101151466369629,0.6932798027992249,,
,,1,101,,,,,0.6383442282676697,0.6575374603271484
,,1,101,,,0.6296296119689941,0.6384442448616028,,
,,2,152,,,,,0.6601307392120361,0.6173545122146606
,,2,152,,,0.6651104688644409,0.6122974157333374,,
,,3,203,,,,,0.686274528503418,0.6100832223892212
,,3,203,,,0.6781823635101318,0.5897116661071777,,
,,4,254,,,,,0.6372548937797546,0.6470211744308472
,,4,254,,,0.7024587392807007,0.5656799674034119,,
,,5,305,,,,,0.6808279156684875,0.6155372858047485
,,5,305,,,0.7320261597633362,0.5408861041069031,,
,,6,356,,,,,0.6819171905517578,0.5987774729728699
,,6,356,,,0.7441643476486206,0.5211257338523865,,
,,7,407,,,,,0.7047930359840393,0.6027474999427795
,,7,407,,,0.7591036558151245,0.49701401591300964,,
,,8,458,,,,,0.7047930359840393,0.6192229390144348
,,8,458,,,0.7768440842628479,0.46746698021888733,,
,,9,509,,,,,0.7145969271659851,0.5876094102859497
,,9,509,,,0.7858698964118958,0.4488936960697174,,
,,10,560,,,,,0.7200435996055603,0.5768865346908569
,,10,560,,,0.7989417910575867,0.4451889395713806,,
,,11,611,,,,,0.7124183177947998,0.5621391534805298
,,11,611,,,0.812636137008667,0.4151553213596344,,
,,12,662,,,,,0.7189542651176453,0.5567461252212524
,,12,662,,,0.8138810992240906,0.408951997756958,,
,,13,713,,,,,0.7189542651176453,0.5648702383041382
,,13,713,,,0.816370964050293,0.40743738412857056,,
,,14,764,,,,,0.7352941036224365,0.5961363315582275
,,14,764,,,0.818549633026123,0.3961068093776703,,
,,15,815,,,,,0.7461873888969421,0.5657569169998169
,,15,815,,,0.8397136926651001,0.36826199293136597,,
,,16,866,,,,,0.741830050945282,0.6068474650382996
,,16,866,,,0.8403361439704895,0.3531225919723511,,
,,17,917,,,,,0.7374727725982666,0.620851993560791
,,17,917,,,0.846872091293335,0.3508504033088684,,
,,18,968,,,,,0.7407407164573669,0.5856772661209106
,,18,968,,,0.8499844670295715,0.34344199299812317,,
,,19,1019,,,,,0.7363834381103516,0.5891082286834717
,,19,1019,,,0.8562091588973999,0.33468925952911377,,
,,20,1070,,,,,0.7254902124404907,0.6319032907485962
,,20,1070,,,0.860255241394043,0.32671216130256653,,
,,21,1121,,,,,0.7483659982681274,0.6098888516426086
,,21,1121,,,0.8680360913276672,0.3112730383872986,,
,,22,1172,,,,,0.742919385433197,0.6825016736984253
,,22,1172,,,0.8674136400222778,0.29771119356155396,,
,,23,1223,,,,,0.7298474907875061,0.653849720954895
,,23,1223,,,0.8748832941055298,0.29693710803985596,,
,,24,1274,,,,,0.7396514415740967,0.7269657850265503
,,24,1274,,,0.8854653239250183,0.27528300881385803,,
,,25,1325,,,,,0.741830050945282,0.6485319137573242
,,25,1325,,,0.8823529481887817,0.27743759751319885,,
,,26,1376,,,,,0.7385621070861816,0.8542681336402893
,,26,1376,,,0.8767507076263428,0.2886488139629364,,
,,27,1427,,,,,0.7385621070861816,0.7098166346549988
,,27,1427,,,0.8860877752304077,0.2699815034866333,,
,,28,1478,,,,,0.7461873888969421,0.7301823496818542
,,28,1478,,,0.8892001509666443,0.26111286878585815,,
,,29,1529,,,,,0.7287581562995911,0.7302530407905579
,,29,1529,,,0.9010270833969116,0.24758191406726837,,
,,30,1580,,,,,0.7385621070861816,0.6736701726913452
,,30,1580,,,0.8951135873794556,0.2501071095466614,,
,,31,1609,,,,,0.7342047691345215,0.7876838445663452
,,31,1608,,,0.9095394611358643,0.2303594946861267,,
0.757709264755249,0.7456896305084229,32,1609,0.7516340017318726,0.6082751750946045,,,,
