class_0_acc,class_1_acc,epoch,step,test_acc,test_loss,train_acc_epoch,train_loss_epoch,val_acc,val_loss
,,0,50,,,,,0.49673202633857727,0.6931827664375305
,,0,50,,,0.49891066551208496,0.6947807669639587,,
,,1,101,,,,,0.600217878818512,0.652252197265625
,,1,101,,,0.5228758454322815,0.6872432231903076,,
,,2,152,,,,,0.672113299369812,0.6206413507461548
,,2,152,,,0.6333644390106201,0.6410333514213562,,
,,3,203,,,,,0.7037037014961243,0.6040999889373779
,,3,203,,,0.6657329797744751,0.6123719811439514,,
,,4,254,,,,,0.6993464231491089,0.5856699347496033
,,4,254,,,0.6956115961074829,0.5861988067626953,,
,,5,305,,,,,0.6884531378746033,0.5990766882896423
,,5,305,,,0.7114846110343933,0.5546095967292786,,
,,6,356,,,,,0.6884531378746033,0.573823869228363
,,6,356,,,0.7301587462425232,0.5280402898788452,,
,,7,407,,,,,0.7156862616539001,0.5716582536697388
,,7,407,,,0.7538126111030579,0.4999163746833801,,
,,8,458,,,,,0.7211328744888306,0.561424970626831
,,8,458,,,0.761904776096344,0.4788890779018402,,
,,9,509,,,,,0.7352941036224365,0.5276296734809875
,,9,509,,,0.7818238139152527,0.455694317817688,,
,,10,560,,,,,0.7331154942512512,0.5576661229133606
,,10,560,,,0.7933395504951477,0.43712037801742554,,
,,11,611,,,,,0.587145984172821,38.94820022583008
,,11,611,,,0.6912542581558228,1.1991132497787476,,
,,12,662,,,,,0.49673202633857727,1.1467355489730835
,,12,662,,,0.516339898109436,7.3583598136901855,,
,,13,713,,,,,0.6590414047241211,0.6042067408561707
,,13,713,,,0.5465297102928162,5.022384166717529,,
,,14,764,,,,,0.38235294818878174,3.2166433334350586
,,14,764,,,0.5474634170532227,2.918726682662964,,
,,15,815,,,,,0.6949890851974487,0.8013395667076111
,,15,815,,,0.5306566953659058,1.33347487449646,,
,,16,866,,,,,0.4901960790157318,1.0226293802261353
,,16,866,,,0.6171802282333374,0.9616372585296631,,
,,17,917,,,,,0.5762526988983154,0.8355628252029419
,,17,917,,,0.49828821420669556,1.0314768552780151,,
,,18,968,,,,,0.6514161229133606,0.7495911121368408
,,18,968,,,0.684407114982605,0.6634061932563782,,
,,19,1019,,,,,0.5228758454322815,0.7567379474639893
,,19,1019,,,0.5981948375701904,0.6903054714202881,,
,,20,1070,,,,,0.56971675157547,0.6763352155685425
,,20,1070,,,0.5972611308097839,0.6970118284225464,,
,,21,1071,,,,,0.5664488077163696,0.6759357452392578
,,21,1070,,,0.65625,0.6387786865234375,,
0.7312775254249573,0.7974137663841248,22,1071,0.7647058963775635,0.5358772277832031,,,,
