epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,50,,,0.6427015066146851,0.6496555805206299
0,50,0.5203859210014343,0.6905231475830078,,
1,101,,,0.6427015066146851,0.6278491020202637
1,101,0.593837559223175,0.8242088556289673,,
2,152,,,0.655773401260376,0.6313571929931641
2,152,0.6237161755561829,0.6474769115447998,,
3,203,,,0.6492374539375305,0.6352994441986084
3,203,0.6641767621040344,0.6194517612457275,,
4,254,,,0.6623093485832214,0.6016397476196289
4,254,0.6856520175933838,0.5963836312294006,,
5,305,,,0.6884531378746033,0.5839451551437378
5,305,0.6999688744544983,0.5764456987380981,,
6,356,,,0.7047930359840393,0.58880215883255
6,356,0.7205104231834412,0.5522056818008423,,
7,407,,,0.5032680034637451,0.7962634563446045
7,407,0.6903205513954163,6.880455017089844,,
8,458,,,0.7102396488189697,0.5801857709884644
8,458,0.7170868515968323,0.5702394843101501,,
9,509,,,0.7102396488189697,0.5735984444618225
9,509,0.7550575733184814,0.5100013613700867,,
10,560,,,0.7342047691345215,0.551372766494751
10,560,0.7566137313842773,0.49363479018211365,,
11,611,,,0.7156862616539001,0.5600308179855347
11,611,0.7678182125091553,0.4771217405796051,,
12,662,,,0.7385621070861816,0.540949821472168
12,662,0.7784002423286438,0.4665805697441101,,
13,713,,,0.7135076522827148,0.5660630464553833
13,713,0.7998754978179932,0.4391864240169525,,
14,764,,,0.7189542651176453,0.6090618968009949
14,764,0.8042327761650085,0.426371306180954,,
15,815,,,0.7026143670082092,0.6063099503517151
15,815,0.8197945952415466,0.4106968343257904,,
16,866,,,0.741830050945282,0.5631147623062134
16,866,0.8269529938697815,0.39466938376426697,,
17,917,,,0.7407407164573669,0.6112740635871887
17,917,0.8390911817550659,0.3754713833332062,,
18,968,,,0.7287581562995911,0.5624920129776001
18,968,0.839402437210083,0.3699761927127838,,
19,1019,,,0.7483659982681274,0.549623966217041
19,1019,0.839402437210083,0.37282317876815796,,
20,1070,,,0.7298474907875061,0.6225005388259888
20,1070,0.8474945425987244,0.3591438829898834,,
21,1121,,,0.7331154942512512,0.5633771419525146
21,1121,0.8397136926651001,0.35558679699897766,,
22,1172,,,0.7385621070861816,0.5883076786994934
22,1172,0.8530967831611633,0.3446769118309021,,
23,1223,,,0.7309368252754211,0.7127189636230469
23,1223,0.849050760269165,0.3400997817516327,,
24,1274,,,0.741830050945282,0.6915844082832336
24,1274,0.8677248954772949,0.31838759779930115,,
25,1325,,,0.7461873888969421,0.6096101403236389
25,1325,0.863990068435669,0.3192131817340851,,
26,1376,,,0.7494553327560425,0.6269192695617676
26,1376,0.8658574819564819,0.3129608631134033,,
27,1427,,,0.7352941036224365,0.6975472569465637
27,1427,0.8786181211471558,0.29087796807289124,,
28,1478,,,0.741830050945282,0.633779764175415
28,1478,0.8748832941055298,0.2975592017173767,,
29,1529,,,0.7461873888969421,0.7160469889640808
29,1529,0.8842203617095947,0.28547045588493347,,
30,1580,,,0.7472766637802124,0.610896110534668
30,1580,0.8857765197753906,0.28525498509407043,,
31,1631,,,0.6503267884254456,1.3809829950332642
31,1631,0.8636788129806519,0.36745089292526245,,
32,1682,,,0.3943355083465576,nan
32,1682,0.4407096207141876,nan,,
33,1733,,,0.4117647111415863,nan
33,1733,0.38935574889183044,nan,,
34,1784,,,0.39760348200798035,nan
34,1784,0.3853096663951874,nan,,
35,1835,,,0.3986928164958954,nan
35,1835,0.38873326778411865,nan,,
36,1886,,,0.3932461738586426,nan
36,1886,0.38593214750289917,nan,,
37,1937,,,0.38779956102371216,nan
37,1937,0.38966697454452515,nan,,
38,1988,,,0.4008714556694031,nan
38,1988,0.3843759596347809,nan,,
39,2039,,,0.4063180685043335,nan
39,2039,0.38748833537101746,nan,,
40,2090,,,0.4041394293308258,nan
40,2090,0.38748833537101746,nan,,
41,2141,,,0.3910675346851349,nan
41,2141,0.39028945565223694,nan,,
42,2192,,,0.39760348200798035,nan
42,2192,0.3853096663951874,nan,,
43,2243,,,0.3888888955116272,nan
43,2243,0.3849984407424927,nan,,
44,2294,,,0.3943355083465576,nan
44,2294,0.39184561371803284,nan,,
45,2345,,,0.3986928164958954,nan
45,2345,0.3834422528743744,nan,,
46,2396,,,0.3943355083465576,nan
46,2396,0.3831310272216797,nan,,
47,2447,,,0.39978212118148804,nan
47,2447,0.3834422528743744,nan,,
48,2498,,,0.39978212118148804,nan
48,2498,0.3853096663951874,nan,,
49,2549,,,0.3965141475200653,nan
49,2549,0.3825085461139679,nan,,
50,2600,,,0.4084967374801636,nan
50,2600,0.3797074258327484,nan,,
51,2651,,,0.39760348200798035,nan
51,2651,0.3849984407424927,nan,,
52,2702,,,0.39978212118148804,nan
52,2702,0.379084974527359,nan,,
53,2753,,,0.39978212118148804,nan
53,2753,0.3834422528743744,nan,,
54,2804,,,0.39978212118148804,nan
54,2804,0.38873326778411865,nan,,
55,2855,,,0.39978212118148804,nan
55,2855,0.38655462861061096,nan,,
56,2906,,,0.3986928164958954,nan
56,2906,0.38873326778411865,nan,,
57,2957,,,0.3965141475200653,nan
57,2957,0.3840647339820862,nan,,
58,3008,,,0.4019607901573181,nan
58,3008,0.38562092185020447,nan,,
59,3059,,,0.39978212118148804,nan
59,3059,0.38624337315559387,nan,,
60,3110,,,0.4041394293308258,nan
60,3110,0.38562092185020447,nan,,
61,3161,,,0.40305009484291077,nan
61,3161,0.38655462861061096,nan,,
62,3212,,,0.3986928164958954,nan
62,3212,0.3849984407424927,nan,,
63,3263,,,0.39760348200798035,nan
