epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,25,,,0.5032680034637451,0.6935098767280579
0,25,0.4889511466026306,0.6957585215568542,,
1,51,,,0.49673202633857727,0.8657207489013672
1,51,0.5166510939598083,0.695417046546936,,
2,77,,,0.49673202633857727,0.7015331387519836
2,77,0.49797695875167847,0.6954020261764526,,
3,103,,,0.4978213608264923,0.6958768367767334
3,103,0.5057578682899475,0.6929478645324707,,
4,129,,,0.4793028235435486,0.7022383213043213
4,129,0.4945533871650696,0.6951255202293396,,
5,155,,,0.514161229133606,0.6983307600021362
5,155,0.5166510939598083,0.6921308636665344,,
6,181,,,0.5032680034637451,0.7019582986831665
6,181,0.5284780859947205,0.6912180185317993,,
7,207,,,0.4847494661808014,0.700003981590271
7,207,0.5250544548034668,0.6876712441444397,,
